object,manuscript_location,script,inputs,output,output_sha256,public,note
"Table V (policy check, E8a)",Sec. IV-E,analysis/policy_property_check.py,none (policy encoded in the script),experimental_results/v2_policy/policy_property_check.json,1ba55b2271336396a45852cd951a1664f7fd90911a1ddd98b3807b3cf31b077b,yes,
Table XVI and E8 counts (E8b),Sec. VI-F,analysis/offline_routing_test.py,experimental_results/e3/e3_event_matches.csv; experimental_results/e7/detector_side_run_20260921/E7_REPLAY_LEDGER.csv; experimental_results/e7/detector_side_run_20260921/E7_DRIFT_1MIN.csv,experimental_results/v2_policy/offline_routing_test.json,6a0bc32733edc9eaa4cd9bd9a1fc5bcdc1f4bb3d0dc1a8100b235c53efb19a53,yes,E8 McNemar p = .607 and .508 follow from the discordant counts 6/9 and 6/3
Table VIII (E2 adaptation),Sec. VI-A,analysis/make_generated.py,experimental_results/e2_v21_metrics.csv,expected_outputs/generated/e2_adaptation_rows.tex,feee5488742bdb1dc0b4c7739b53e9200df1d1f9cd47743418ad5818e17a1088,yes,
Table X (E3 fusion),Sec. VI-B,analysis/make_generated.py,experimental_results/e3/e3_event_matches.csv; experimental_results/e3/E3_RQ3_LAM_SELF_REFERENCE_COMPARISON.csv,expected_outputs/generated/e3_fusion_rows.tex,f8adcf106a975f70bd0f1279c6f32f2c67b671befd8b35a3f1376eac2b891ce2,yes,exact McNemar tables also exported in experimental_results/e3/e3_mcnemar_table.csv
Table XIII (E5 modes),Sec. VI-D,analysis/make_generated.py,experimental_results/e5/e5_automatic_metrics.csv; experimental_results/e5/e5_model_outputs.jsonl,expected_outputs/generated/e5_rows.tex,65d4521b072a0a3043c8d4c556a160cd45259827573790a9e362b5ce5fd4172c,yes,
E5 rating agreement,Sec. VI-D,analysis/e5_agreement.py,experimental_results/e5/ratings_20260922/e5_blinded_ratings.csv,expected_outputs/e5_agreement.txt,39812d20f55e29f616c405c4791b39c1f0ae4371ef8a270b0bca9ecd2b05046b,yes,seed 20260923
Table XIV (E6 packet plane),Sec. VI-E,analysis/make_generated.py,experimental_results/e6/E6_T*.csv; experimental_results/e6/E6_SUPPLEMENT_*_v547.csv,expected_outputs/generated/e6_packet_rows.tex,e98d2256d7393ceb079ffd23fd282d56b8a96e1ccbf361de01bbd86617132a80,yes,
Table XV (E6 response plane),Sec. VI-E,analysis/make_generated.py,experimental_results/e6/E6_T09_RESPONSE_LATENCY.csv; experimental_results/e6/E6_T10_QUEUE_DEPTH.csv,expected_outputs/generated/e6_response_rows.tex,59d2ff23c7423380edfc1e9264f464a7e681c4307689c48b6ceb0eaa7e06a48c,yes,
Fig. 4 (E6 stage latency),Sec. VI-E,analysis/make_generated.py,experimental_results/e6/E6_T09_RESPONSE_LATENCY.csv,"figures/e6_stage_latency.pdf (regenerated, not byte-compared)",,yes,
Numbers quoted in prose (E2-E7),Secs. VI-VII,analysis/make_generated.py,"as above plus experimental_results/e7/e7_lam_incidents.csv, e7_lam_minute_snapshots.csv, observer_manifest.json",expected_outputs/generated/summary.json,7e93f8a3892eb0861db0e1837d7d400fd48ed38de2c5c749c5288fa2477e1361,yes,session bootstrap seed 20260921
E6 supplementary grouped replay,Sec. VI-E,analysis/e6_supplementary_check.py,experimental_results/e6/supplementary_v552_20260923/,expected_outputs/e6_supplementary_check.txt,a64fb8d236b7aed7647bb088fc4826edfda9fa112031552985e23c342e4bc1f4,yes,
Text overlap with the earlier works,Sec. IX,analysis/overlap_shingles.py,submitted manuscript PDF; arXiv:2609.24393; arXiv:2609.26316 (not redistributed; digests in experimental_results/overlap/README.md),experimental_results/overlap/overlap_report.txt,8e082d1423e7326925c51c956fa72167c06f1ab074d462ee5ae93e4baa114311,yes,inputs available from arXiv
Table IX and Fig. 2 (E2 per-scenario scores),Sec. VI-A,analysis/e2_scenario_table.py; analysis/e2_score_figure.py; analysis/e2_normal_scores.py,e2_predictions.csv (about 149 MB),,,no,prediction export retained with the E2 models; available from the authors on request
Raw packet captures and operational logs,Sec. IX,,,,,no,may contain addresses and payload material; digests in experimental_results/e1_pcap_sha256.txt
E1 configuration-freeze file and clock-correction log,Sec. VIII,,,,,no,not in this release; the E1 report records the freeze time
E3 preregistration file and full evidence registry,Sec. VIII,,,,,no,not in this release; the design freeze is in experimental_results/e3/E3_DESIGN_FREEZE.json
Raw E4 execution bundle,Sec. VIII,,,,,no,not in this release; summary exports and the SHA-256 manifest are in experimental_results/e4/
Per-run traces of the frozen E6 protocol,Sec. VIII,,,,,no,not in this release; result tables T01-T11 are in experimental_results/e6/
Raw archives of the supplementary E6 searches (lower-rate and RF-off runs),Sec. VIII,,,,,no,"not in this release (about 6.3 GB); distinct from the grouped replay in experimental_results/e6/supplementary_v552_20260923/, which is included"
Raw observer archive of the 24 h E7 run,Sec. VIII,,,,,no,not in this release; verified summary and source documents are in experimental_results/e7/24h_run01/
