event_id,session_id,campaign_id,scenario,ground_truth_label,source_ip,destination_ip,source_port,destination_port,protocol,start_utc,end_utc,controller_event_id,controller_start_utc,controller_end_utc,host_evidence_id,pcap_evidence_id,ground_truth_status,ground_truth_source,corroboration_type,confidence_status,reason_code,primary_test_eligible
E1_DEV_NORMAL_01_EVT01,E1_DEV_NORMAL_01,DEV_NORMAL_C01,normal,normal,192.168.10.101,192.168.10.146,0,mixed,mixed,2026-09-18T06:20:54+00:00,2026-09-18T06:21:33+00:00,CTRL_E1_DEV_NORMAL_01_EVT01,2026-09-18T06:20:54+00:00,2026-09-18T06:21:33+00:00,HOST_E1_DEV_NORMAL_01,PCAP_E1_DEV_NORMAL_01,confirmed,experimental_results/e1/sessions/dev/E1_DEV_NORMAL_01/controller/E1_DEV_NORMAL_01.log,controller_plus_host_application_log,high,GT_CONFIRMED_CONTROLLER_HOST,no
E1_DEV_NORMAL_02_EVT01,E1_DEV_NORMAL_02,DEV_NORMAL_C02,normal,normal,192.168.10.101,192.168.10.146,0,mixed,mixed,2026-09-18T06:44:00+00:00,2026-09-18T06:44:39+00:00,CTRL_E1_DEV_NORMAL_02_EVT01,2026-09-18T06:44:00+00:00,2026-09-18T06:44:39+00:00,HOST_E1_DEV_NORMAL_02,PCAP_E1_DEV_NORMAL_02,confirmed,/home/admin_soc/hybrid-nids/experimental_results/e1/sessions/dev/E1_DEV_NORMAL_02/controller/E1_DEV_NORMAL_02.log,controller_plus_host_application_log,high,GT_CONFIRMED_CONTROLLER_HOST,no
E1_DEV_NORMAL_03_EVT01,E1_DEV_NORMAL_03,DEV_NORMAL_C03,normal,normal,192.168.10.101,192.168.10.146,0,mixed,mixed,2026-09-18T06:46:32+00:00,2026-09-18T06:47:12+00:00,CTRL_E1_DEV_NORMAL_03_EVT01,2026-09-18T06:46:32+00:00,2026-09-18T06:47:12+00:00,HOST_E1_DEV_NORMAL_03,PCAP_E1_DEV_NORMAL_03,confirmed,/home/admin_soc/hybrid-nids/experimental_results/e1/sessions/dev/E1_DEV_NORMAL_03/controller/E1_DEV_NORMAL_03.log,controller_plus_host_application_log,high,GT_CONFIRMED_CONTROLLER_HOST,no
E1_DEV_SCAN_01_EVT01,E1_DEV_SCAN_01,DEV_SCAN_C01,scan,attack,192.168.10.101,192.168.10.146,0,multiple,tcp,2026-09-18T06:52:04+00:00,2026-09-18T06:52:16+00:00,CTRL_E1_DEV_SCAN_01_EVT01,2026-09-18T06:52:04+00:00,2026-09-18T06:52:16+00:00,HOST_E1_DEV_SCAN_01,PCAP_E1_DEV_SCAN_01,confirmed,/home/admin_soc/hybrid-nids/experimental_results/e1/sessions/dev/E1_DEV_SCAN_01/controller/E1_DEV_SCAN_01.log,controller_plus_pcap_plus_target_availability,high,GT_CONFIRMED_CONTROLLER_PCAP,no
E1_DEV_SCAN_02_EVT01,E1_DEV_SCAN_02,DEV_SCAN_C02,scan,attack,192.168.10.101,192.168.10.146,0,multiple,tcp,2026-09-18T06:56:01+00:00,2026-09-18T06:56:12+00:00,CTRL_E1_DEV_SCAN_02_EVT01,2026-09-18T06:56:01+00:00,2026-09-18T06:56:12+00:00,HOST_E1_DEV_SCAN_02,PCAP_E1_DEV_SCAN_02,confirmed,/home/admin_soc/hybrid-nids/experimental_results/e1/sessions/dev/E1_DEV_SCAN_02/controller/E1_DEV_SCAN_02.log,controller_plus_pcap_plus_target_availability,high,GT_CONFIRMED_CONTROLLER_PCAP,no
E1_DEV_SCAN_03_EVT01,E1_DEV_SCAN_03,DEV_SCAN_C03,scan,attack,192.168.10.101,192.168.10.146,0,multiple,tcp,2026-09-18T06:59:04+00:00,2026-09-18T06:59:15+00:00,CTRL_E1_DEV_SCAN_03_EVT01,2026-09-18T06:59:04+00:00,2026-09-18T06:59:15+00:00,HOST_E1_DEV_SCAN_03,PCAP_E1_DEV_SCAN_03,confirmed,/home/admin_soc/hybrid-nids/experimental_results/e1/sessions/dev/E1_DEV_SCAN_03/controller/E1_DEV_SCAN_03.log,controller_plus_pcap_plus_target_availability,high,GT_CONFIRMED_CONTROLLER_PCAP,no
EVT_DEV_BRUTE_01_001,E1_DEV_BRUTE_01,DEV_BRUTE_C01,brute_force,attack,192.168.10.101,192.168.10.146,0,22,tcp,2026-09-18T08:20:10+00:00,2026-09-18T08:20:23+00:00,CTRL_EVT_DEV_BRUTE_01_001,2026-09-18T08:20:10+00:00,2026-09-18T08:20:23+00:00,HOST_E1_DEV_BRUTE_01,PCAP_E1_DEV_BRUTE_01,confirmed,controller_log_hydra_20_attempts,controller_plus_host_application_log,high,GT_CONFIRMED_CONTROLLER_HOST,no
EVT_DEV_BRUTE_02_001,E1_DEV_BRUTE_02,DEV_BRUTE_C02,brute_force,attack,192.168.10.101,192.168.10.146,0,22,tcp,2026-09-18T08:35:00+00:00,2026-09-18T08:35:13+00:00,CTRL_EVT_DEV_BRUTE_02_001,2026-09-18T08:35:00+00:00,2026-09-18T08:35:13+00:00,HOST_E1_DEV_BRUTE_02,PCAP_E1_DEV_BRUTE_02,confirmed,controller_log_hydra_20_attempts,controller_plus_host_application_log,high,GT_CONFIRMED_CONTROLLER_HOST,no
EVT_DEV_BRUTE_03_001,E1_DEV_BRUTE_03,DEV_BRUTE_C03,brute_force,attack,192.168.10.101,192.168.10.146,0,22,tcp,2026-09-18T08:43:37+00:00,2026-09-18T08:43:50+00:00,CTRL_EVT_DEV_BRUTE_03_001,2026-09-18T08:43:37+00:00,2026-09-18T08:43:50+00:00,HOST_E1_DEV_BRUTE_03,PCAP_E1_DEV_BRUTE_03,confirmed,controller_log_hydra_20_attempts,controller_plus_host_application_log,high,GT_CONFIRMED_CONTROLLER_HOST,no
EVT_DEV_DOS_01_001,E1_DEV_DOS_01,DEV_DOS_C01,dos,attack,192.168.10.101,192.168.10.146,0,18080,tcp,2026-09-18T08:54:32+00:00,2026-09-18T08:55:08+00:00,CTRL_EVT_DEV_DOS_01_001,2026-09-18T08:54:32+00:00,2026-09-18T08:55:08+00:00,HOST_E1_DEV_DOS_01,PCAP_E1_DEV_DOS_01,confirmed,controller_log_hping3_1444478_syn_packets,controller_plus_pcap_traffic_volume,high,GT_CONFIRMED_CONTROLLER_PCAP,no
EVT_DEV_DOS_02_001,E1_DEV_DOS_02,DEV_DOS_C02,dos,attack,192.168.10.101,192.168.10.146,0,18080,tcp,2026-09-18T09:04:57+00:00,2026-09-18T09:05:34+00:00,CTRL_EVT_DEV_DOS_02_001,2026-09-18T09:04:57+00:00,2026-09-18T09:05:34+00:00,HOST_E1_DEV_DOS_02,PCAP_E1_DEV_DOS_02,confirmed,controller_log_hping3_syn_flood,controller_plus_pcap_traffic_volume,high,GT_CONFIRMED_CONTROLLER_PCAP,no
EVT_DEV_DOS_03_001,E1_DEV_DOS_03,DEV_DOS_C03,dos,attack,192.168.10.101,192.168.10.146,0,18080,tcp,2026-09-18T09:10:22+00:00,2026-09-18T09:12:26+00:00,CTRL_EVT_DEV_DOS_03_001,2026-09-18T09:10:22+00:00,2026-09-18T09:12:26+00:00,HOST_E1_DEV_DOS_03,PCAP_E1_DEV_DOS_03,confirmed,controller_log_hping3_syn_flood,controller_plus_pcap_traffic_volume,high,GT_CONFIRMED_CONTROLLER_PCAP,no
