partition,variant,flows,normal_flows,attack_flows,threshold,normal_score_min,normal_score_median,normal_score_max,attack_score_p01,attack_score_median,normal_flagged
dev_train,V1_source_direct,137572,37,137535,0.852800,0.527663,0.601776,0.882129,0.380181,0.390065,1
dev_train,V1_inverted,137572,37,137535,0.050000,0.117871,0.398224,0.472337,0.503271,0.609935,37
dev_train,V2a_platt_devcal,137572,37,137535,0.050000,0.997961,0.999253,0.999427,0.999488,0.999650,37
dev_train,V2b_isotonic_devcal,137572,37,137535,0.050000,0.726774,0.750000,1.000000,1.000000,1.000000,37
dev_train,V3_RF21_seed42,137572,37,137535,0.050000,0.000000,0.000005,0.001488,1.000000,1.000000,0
dev_train,V4_noTTL_seed42,137572,37,137535,0.050000,0.000000,0.000003,0.001402,1.000000,1.000000,0
dev_cal,V1_source_direct,66654,17,66637,0.852800,0.582575,0.611978,0.894307,0.384775,0.390065,1
dev_cal,V1_inverted,66654,17,66637,0.050000,0.105693,0.388022,0.417425,0.526785,0.609935,17
dev_cal,V2a_platt_devcal,66654,17,66637,0.050000,0.997870,0.999225,0.999303,0.999529,0.999650,17
dev_cal,V2b_isotonic_devcal,66654,17,66637,0.050000,0.666667,0.750000,0.750000,1.000000,1.000000,17
dev_cal,V3_RF21_seed42,66654,17,66637,0.050000,0.000000,0.000003,0.030267,1.000000,1.000000,0
dev_cal,V4_noTTL_seed42,66654,17,66637,0.050000,0.000000,0.000002,0.035532,1.000000,1.000000,0
test,V1_source_direct,203677,93,203584,0.852800,0.438872,0.478698,0.863573,0.384775,0.393556,2
test,V1_inverted,203677,93,203584,0.050000,0.136427,0.521302,0.561128,0.483542,0.606444,93
test,V2a_platt_devcal,203677,93,203584,0.050000,0.998092,0.999520,0.999584,0.999450,0.999646,93
test,V2b_isotonic_devcal,203677,93,203584,0.050000,0.750000,1.000000,1.000000,1.000000,1.000000,93
test,V3_RF21_seed42,203677,93,203584,0.050000,0.475959,0.775003,0.975001,1.000000,1.000000,93
test,V4_noTTL_seed42,203677,93,203584,0.050000,0.505949,0.830000,0.990001,1.000000,1.000000,93
