variant,partition,threshold,n_flows,tp,fp,fn,tn,precision,recall,f1,specificity,fpr,balanced_accuracy,roc_auc,pr_auc,brier,ece
V1_source_direct,dev_train,0.8528,137572,12,1,137523,36,0.923077,8.7e-05,0.000174,0.972973,0.027027,0.48653,0.000714,0.998364,0.371001,0.60837
V1_inverted,dev_train,0.05,137572,137535,37,0,0,0.999731,1.0,0.999866,0.0,1.0,0.5,0.999286,1.0,0.153577,0.391092
V2a_platt_devcal,dev_train,0.05,137572,137535,37,0,0,0.999731,1.0,0.999866,0.0,1.0,0.5,0.999286,1.0,0.000269,8.4e-05
V2b_isotonic_devcal,dev_train,0.05,137572,137535,37,0,0,0.999731,1.0,0.999866,0.0,1.0,0.5,0.850925,0.99992,0.000238,6.2e-05
V3_RF21_seed42,dev_train,0.05,137572,137535,0,0,37,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,5.4e-05,0.000142
V4_noTTL_seed42,dev_train,0.05,137572,137535,0,0,37,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,5.9e-05,0.000141
V1_source_direct,dev_cal,0.8528,66654,5,1,66632,16,0.833333,7.5e-05,0.00015,0.941176,0.058824,0.470626,0.000633,0.998956,0.37037,0.608123
V1_inverted,dev_cal,0.05,66654,66637,17,0,0,0.999745,1.0,0.999872,0.0,1.0,0.5,0.999367,1.0,0.153592,0.391432
V2a_platt_devcal,dev_cal,0.05,66654,66637,17,0,0,0.999745,1.0,0.999872,0.0,1.0,0.5,0.999367,1.0,0.000255,9.7e-05
V2b_isotonic_devcal,dev_cal,0.05,66654,66637,17,0,0,0.999745,1.0,0.999872,0.0,1.0,0.5,0.999632,1.0,0.00019,
V3_RF21_seed42,dev_cal,0.05,66654,66637,0,0,17,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.000109,0.00022
V4_noTTL_seed42,dev_cal,0.05,66654,66637,0,0,17,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.000108,0.000212
V1_source_direct,test,0.8528,203677,18,2,203566,91,0.9,8.8e-05,0.000177,0.978495,0.021505,0.489292,0.023332,0.998484,0.363892,0.602407
V1_inverted,test,0.05,203677,203584,93,0,0,0.999543,1.0,0.999772,0.0,1.0,0.5,0.976668,0.999989,0.158162,0.39668
V2a_platt_devcal,test,0.05,203677,203584,93,0,0,0.999543,1.0,0.999772,0.0,1.0,0.5,0.976668,0.999989,0.000456,9.7e-05
V2b_isotonic_devcal,test,0.05,203677,203584,93,0,0,0.999543,1.0,0.999772,0.0,1.0,0.5,0.564277,0.999602,0.000466,9.6e-05
V3_RF21_seed42,test,0.05,203677,203583,93,1,0,0.999543,0.999995,0.999769,0.0,1.0,0.499998,0.999687,1.0,0.000399,0.000458
V4_noTTL_seed42,test,0.05,203677,203583,93,1,0,0.999543,0.999995,0.999769,0.0,1.0,0.499998,0.999686,1.0,0.000423,0.000482
