session_id,scenario,gt_label,source,primary_alerts,supp_alerts,total_flows,rf_positive_flows,S1,S2,S3_W60,S4,S5,S6,routing_tier_W60,P_corr_10s,P_corr_30s,P_corr_60s,P_corr_120s,SUP_corr_10s,SUP_corr_30s,SUP_corr_60s,SUP_corr_120s,S3_W10,S3_W30,S3_W120,evidence_objects
E1_TEST_NORMAL_01,normal,0,primary,0,0,31,31,0,1,0,1,1,1,RF_ONLY_REVIEW,0,0,0,0,0,0,0,0,0,0,0,31
E1_TEST_NORMAL_01,normal,0,supplementary,0,0,31,31,0,1,0,1,1,1,RF_ONLY_REVIEW,0,0,0,0,0,0,0,0,0,0,0,31
E1_TEST_NORMAL_02,normal,0,primary,0,0,31,31,0,1,0,1,1,1,RF_ONLY_REVIEW,0,0,0,0,0,0,0,0,0,0,0,31
E1_TEST_NORMAL_02,normal,0,supplementary,0,0,31,31,0,1,0,1,1,1,RF_ONLY_REVIEW,0,0,0,0,0,0,0,0,0,0,0,31
E1_TEST_NORMAL_03,normal,0,primary,0,0,31,31,0,1,0,1,1,1,RF_ONLY_REVIEW,0,0,0,0,0,0,0,0,0,0,0,31
E1_TEST_NORMAL_03,normal,0,supplementary,0,0,31,31,0,1,0,1,1,1,RF_ONLY_REVIEW,0,0,0,0,0,0,0,0,0,0,0,31
E1_TEST_SCAN_01,scan,1,primary,0,0,845,845,0,1,0,1,1,1,RF_ONLY_REVIEW,0,0,0,0,0,0,0,0,0,0,0,845
E1_TEST_SCAN_01,scan,1,supplementary,0,0,845,845,0,1,0,1,1,1,RF_ONLY_REVIEW,0,0,0,0,0,0,0,0,0,0,0,845
E1_TEST_SCAN_02,scan,1,primary,0,0,837,837,0,1,0,1,1,1,RF_ONLY_REVIEW,0,0,0,0,0,0,0,0,0,0,0,837
E1_TEST_SCAN_02,scan,1,supplementary,0,0,837,837,0,1,0,1,1,1,RF_ONLY_REVIEW,0,0,0,0,0,0,0,0,0,0,0,837
E1_TEST_SCAN_03,scan,1,primary,0,0,861,861,0,1,0,1,1,1,RF_ONLY_REVIEW,0,0,0,0,0,0,0,0,0,0,0,861
E1_TEST_SCAN_03,scan,1,supplementary,0,0,861,861,0,1,0,1,1,1,RF_ONLY_REVIEW,0,0,0,0,0,0,0,0,0,0,0,861
E1_TEST_BRUTE_01,brute_force,1,primary,0,0,6,6,0,1,0,1,0,1,RF_ONLY_REVIEW,0,0,0,0,0,0,0,0,0,0,0,6
E1_TEST_BRUTE_01,brute_force,1,supplementary,0,0,6,6,0,1,0,1,0,1,RF_ONLY_REVIEW,0,0,0,0,0,0,0,0,0,0,0,6
E1_TEST_BRUTE_02,brute_force,1,primary,0,0,6,6,0,1,0,1,0,1,RF_ONLY_REVIEW,0,0,0,0,0,0,0,0,0,0,0,6
E1_TEST_BRUTE_02,brute_force,1,supplementary,0,0,6,6,0,1,0,1,0,1,RF_ONLY_REVIEW,0,0,0,0,0,0,0,0,0,0,0,6
E1_TEST_BRUTE_03,brute_force,1,primary,0,0,6,6,0,1,0,1,0,1,RF_ONLY_REVIEW,0,0,0,0,0,0,0,0,0,0,0,6
E1_TEST_BRUTE_03,brute_force,1,supplementary,0,0,6,6,0,1,0,1,0,1,RF_ONLY_REVIEW,0,0,0,0,0,0,0,0,0,0,0,6
E1_TEST_DOS_01,dos,1,primary,0,8640,65537,65537,0,1,0,1,1,1,RF_ONLY_REVIEW,0,0,0,0,0,0,0,0,0,0,0,65537
E1_TEST_DOS_01,dos,1,supplementary,0,8640,65537,65537,1,1,1,1,1,1,HYBRID_CORRELATED,0,0,0,0,0,1,1,1,0,1,1,74177
E1_TEST_DOS_02,dos,1,primary,0,12480,65537,65537,0,1,0,1,1,1,RF_ONLY_REVIEW,0,0,0,0,0,0,0,0,0,0,0,65537
E1_TEST_DOS_02,dos,1,supplementary,0,12480,65537,65537,1,1,1,1,1,1,HYBRID_CORRELATED,0,0,0,0,0,1,1,1,0,1,1,78017
E1_TEST_DOS_03,dos,1,primary,0,21072,65537,65537,0,1,0,1,1,1,RF_ONLY_REVIEW,0,0,0,0,0,0,0,0,0,0,0,65537
E1_TEST_DOS_03,dos,1,supplementary,0,21072,65537,65537,1,1,1,1,1,1,HYBRID_CORRELATED,0,0,0,0,1,1,1,1,1,1,1,86609
E1_TEST_EXPLOIT_01,exploit,1,primary,0,2365,2319,2319,0,1,0,1,1,1,RF_ONLY_REVIEW,0,0,0,0,0,0,0,0,0,0,0,2319
E1_TEST_EXPLOIT_01,exploit,1,supplementary,0,2365,2319,2319,1,1,1,1,1,1,HYBRID_CORRELATED,0,0,0,0,1,1,1,1,1,1,1,4684
E1_TEST_EXPLOIT_02,exploit,1,primary,0,1847,2072,2072,0,1,0,1,1,1,RF_ONLY_REVIEW,0,0,0,0,0,0,0,0,0,0,0,2072
E1_TEST_EXPLOIT_02,exploit,1,supplementary,0,1847,2072,2072,1,1,1,1,1,1,HYBRID_CORRELATED,0,0,0,0,1,1,1,1,1,1,1,3919
E1_TEST_EXPLOIT_03,exploit,1,primary,0,44,21,21,0,1,0,1,0,1,RF_ONLY_REVIEW,0,0,0,0,0,0,0,0,0,0,0,21
E1_TEST_EXPLOIT_03,exploit,1,supplementary,0,44,21,21,1,1,1,1,1,1,HYBRID_CORRELATED,0,0,0,0,1,1,1,1,1,1,1,65
