experiment_run,action_id,artifact_action_key,source_event_id,action_type,ttl_seconds,approval_status,external_effect_observed,final_observed_state,recovery_result,pass,evidence_source
E4-C-ACTION-IDEMPOTENCY,ACT-e55221b1d46e9496,E4-C-ACTION-IDEMPOTENCY:ACT-e55221b1d46e9496,EVT_TEST_EXPLOIT_01_001,PLAYBOOK_1_BLOCK,3600,VALID_APPROVAL_TEST,NO,NO_EXTERNAL_EFFECT,NOT_REQUIRED_DRY_RUN,True,experimental_results/e4/integrated/e4_phase_c_results.csv
E4D-CP1-R1,ACT-e55221b1d46e9496,E4D-CP1-R1:ACT-e55221b1d46e9496,EVT_TEST_EXPLOIT_01_001,PLAYBOOK_1_BLOCK,120,APPROVED,YES,ABSENT_AFTER_TEST_CLEANUP,EXECUTED_ONCE,True,experimental_results/e4/integrated/e4_crash_repetitions.csv
E4D-CP1-R2,ACT-e55221b1d46e9496,E4D-CP1-R2:ACT-e55221b1d46e9496,EVT_TEST_EXPLOIT_01_001,PLAYBOOK_1_BLOCK,120,APPROVED,YES,ABSENT_AFTER_TEST_CLEANUP,EXECUTED_ONCE,True,experimental_results/e4/integrated/e4_crash_repetitions.csv
E4D-CP1-R3,ACT-e55221b1d46e9496,E4D-CP1-R3:ACT-e55221b1d46e9496,EVT_TEST_EXPLOIT_01_001,PLAYBOOK_1_BLOCK,120,APPROVED,YES,ABSENT_AFTER_TEST_CLEANUP,EXECUTED_ONCE,True,experimental_results/e4/integrated/e4_crash_repetitions.csv
E4D-CP2-R1,ACT-e55221b1d46e9496,E4D-CP2-R1:ACT-e55221b1d46e9496,EVT_TEST_EXPLOIT_01_001,PLAYBOOK_1_BLOCK,120,APPROVED,YES,ABSENT_AFTER_TEST_CLEANUP,EXECUTED_ONCE,True,experimental_results/e4/integrated/e4_crash_repetitions.csv
E4D-CP2-R2,ACT-e55221b1d46e9496,E4D-CP2-R2:ACT-e55221b1d46e9496,EVT_TEST_EXPLOIT_01_001,PLAYBOOK_1_BLOCK,120,APPROVED,YES,ABSENT_AFTER_TEST_CLEANUP,EXECUTED_ONCE,True,experimental_results/e4/integrated/e4_crash_repetitions.csv
E4D-CP2-R3,ACT-e55221b1d46e9496,E4D-CP2-R3:ACT-e55221b1d46e9496,EVT_TEST_EXPLOIT_01_001,PLAYBOOK_1_BLOCK,120,APPROVED,YES,ABSENT_AFTER_TEST_CLEANUP,EXECUTED_ONCE,True,experimental_results/e4/integrated/e4_crash_repetitions.csv
E4D-CP3-R1,ACT-e55221b1d46e9496,E4D-CP3-R1:ACT-e55221b1d46e9496,EVT_TEST_EXPLOIT_01_001,PLAYBOOK_1_BLOCK,120,APPROVED,YES,ABSENT_AFTER_TEST_CLEANUP,EXECUTED_ONCE,True,experimental_results/e4/integrated/e4_crash_repetitions.csv
E4D-CP3-R2,ACT-e55221b1d46e9496,E4D-CP3-R2:ACT-e55221b1d46e9496,EVT_TEST_EXPLOIT_01_001,PLAYBOOK_1_BLOCK,120,APPROVED,YES,ABSENT_AFTER_TEST_CLEANUP,EXECUTED_ONCE,True,experimental_results/e4/integrated/e4_crash_repetitions.csv
E4D-CP3-R3,ACT-e55221b1d46e9496,E4D-CP3-R3:ACT-e55221b1d46e9496,EVT_TEST_EXPLOIT_01_001,PLAYBOOK_1_BLOCK,120,APPROVED,YES,ABSENT_AFTER_TEST_CLEANUP,EXECUTED_ONCE,True,experimental_results/e4/integrated/e4_crash_repetitions.csv
E4D-CP4-R1,ACT-e55221b1d46e9496,E4D-CP4-R1:ACT-e55221b1d46e9496,EVT_TEST_EXPLOIT_01_001,PLAYBOOK_1_BLOCK,120,APPROVED,NO,ABSENT_AFTER_TEST_CLEANUP,STARTUP_SAFETY_HOLD_NO_EFFECT,True,experimental_results/e4/integrated/e4_crash_repetitions.csv
E4D-CP4-R2,ACT-e55221b1d46e9496,E4D-CP4-R2:ACT-e55221b1d46e9496,EVT_TEST_EXPLOIT_01_001,PLAYBOOK_1_BLOCK,120,APPROVED,NO,ABSENT_AFTER_TEST_CLEANUP,STARTUP_SAFETY_HOLD_NO_EFFECT,True,experimental_results/e4/integrated/e4_crash_repetitions.csv
E4D-CP4-R3,ACT-e55221b1d46e9496,E4D-CP4-R3:ACT-e55221b1d46e9496,EVT_TEST_EXPLOIT_01_001,PLAYBOOK_1_BLOCK,120,APPROVED,NO,ABSENT_AFTER_TEST_CLEANUP,STARTUP_SAFETY_HOLD_NO_EFFECT,True,experimental_results/e4/integrated/e4_crash_repetitions.csv
E4D-CP5-R1,ACT-e55221b1d46e9496,E4D-CP5-R1:ACT-e55221b1d46e9496,EVT_TEST_EXPLOIT_01_001,PLAYBOOK_1_BLOCK,120,APPROVED,YES,ABSENT_AFTER_TEST_CLEANUP,STARTUP_VERIFIED_NO_REPLAY,True,experimental_results/e4/integrated/e4_crash_repetitions.csv
E4D-CP5-R2,ACT-e55221b1d46e9496,E4D-CP5-R2:ACT-e55221b1d46e9496,EVT_TEST_EXPLOIT_01_001,PLAYBOOK_1_BLOCK,120,APPROVED,YES,ABSENT_AFTER_TEST_CLEANUP,STARTUP_VERIFIED_NO_REPLAY,True,experimental_results/e4/integrated/e4_crash_repetitions.csv
E4D-CP5-R3,ACT-e55221b1d46e9496,E4D-CP5-R3:ACT-e55221b1d46e9496,EVT_TEST_EXPLOIT_01_001,PLAYBOOK_1_BLOCK,120,APPROVED,YES,ABSENT_AFTER_TEST_CLEANUP,STARTUP_VERIFIED_NO_REPLAY,True,experimental_results/e4/integrated/e4_crash_repetitions.csv
E4D-CP6-R1,ACT-e55221b1d46e9496,E4D-CP6-R1:ACT-e55221b1d46e9496,EVT_TEST_EXPLOIT_01_001,PLAYBOOK_1_BLOCK,120,APPROVED,YES,ABSENT_AFTER_TEST_CLEANUP,EXECUTED_ONCE,True,experimental_results/e4/integrated/e4_crash_repetitions.csv
E4D-CP6-R2,ACT-e55221b1d46e9496,E4D-CP6-R2:ACT-e55221b1d46e9496,EVT_TEST_EXPLOIT_01_001,PLAYBOOK_1_BLOCK,120,APPROVED,YES,ABSENT_AFTER_TEST_CLEANUP,EXECUTED_ONCE,True,experimental_results/e4/integrated/e4_crash_repetitions.csv
E4D-CP6-R3,ACT-e55221b1d46e9496,E4D-CP6-R3:ACT-e55221b1d46e9496,EVT_TEST_EXPLOIT_01_001,PLAYBOOK_1_BLOCK,120,APPROVED,YES,ABSENT_AFTER_TEST_CLEANUP,EXECUTED_ONCE,True,experimental_results/e4/integrated/e4_crash_repetitions.csv
E4-E-LIVE-APPROVED,ACT-e55221b1d46e9496,E4-E-LIVE-APPROVED:ACT-e55221b1d46e9496,EVT_TEST_EXPLOIT_01_001,PLAYBOOK_1_BLOCK,120,APPROVED,YES,ACTIVE_AT_OBSERVATION,EXECUTED_ONCE,True,experimental_results/e4/integrated/e4_firewall_observations.csv
E4-E-TTL,ACT-e55221b1d46e9496,E4-E-TTL:ACT-e55221b1d46e9496,EVT_TEST_EXPLOIT_01_001,PLAYBOOK_1_BLOCK,2,APPROVED,YES,ABSENT_AFTER_TTL,TTL_EXPIRED_RECONCILED,True,experimental_results/e4/integrated/e4_firewall_observations.csv
E4-E-MANUAL-ROLLBACK,ACT-e55221b1d46e9496,E4-E-MANUAL-ROLLBACK:ACT-e55221b1d46e9496,EVT_TEST_EXPLOIT_01_001,PLAYBOOK_1_BLOCK,120,APPROVED,YES,ABSENT_AFTER_ROLLBACK,MANUAL_ROLLBACK_RECONCILED,True,experimental_results/e4/integrated/e4_firewall_observations.csv
