outcome_id,phase,test_type,source_event_id,scenario,queue_status,severity,playbook,execution_status,approval_status,action_id,ttl_seconds,external_effect_observed,expected,observed,recovery_result,pass,evidence_artifact,notes
BASELINE-EVT_TEST_NORMAL_01_001,A_BASELINE,real_e1_integrated,EVT_TEST_NORMAL_01_001,normal,DEAD,,,,,,,NO,Strict validation rejects unsupported normal category,queue=DEAD; exec=NO_ALERT,,True,experimental_results/e4/integrated/e4_baseline_PASS.db,ValidationError: Category không được hỗ trợ: 'normal'. Hãy sửa Simulator hoặc bổ sung CATEGORY_ALIASES.
BASELINE-EVT_TEST_NORMAL_02_001,A_BASELINE,real_e1_integrated,EVT_TEST_NORMAL_02_001,normal,DEAD,,,,,,,NO,Strict validation rejects unsupported normal category,queue=DEAD; exec=NO_ALERT,,True,experimental_results/e4/integrated/e4_baseline_PASS.db,ValidationError: Category không được hỗ trợ: 'normal'. Hãy sửa Simulator hoặc bổ sung CATEGORY_ALIASES.
BASELINE-EVT_TEST_NORMAL_03_001,A_BASELINE,real_e1_integrated,EVT_TEST_NORMAL_03_001,normal,DEAD,,,,,,,NO,Strict validation rejects unsupported normal category,queue=DEAD; exec=NO_ALERT,,True,experimental_results/e4/integrated/e4_baseline_PASS.db,ValidationError: Category không được hỗ trợ: 'normal'. Hãy sửa Simulator hoặc bổ sung CATEGORY_ALIASES.
BASELINE-EVT_TEST_SCAN_01_001,A_BASELINE,real_e1_integrated,EVT_TEST_SCAN_01_001,scan,DONE,THAP,PLAYBOOK_4,SUCCESS,,,,NO,Monitoring/watchlist path; no firewall side effect,queue=DONE; exec=SUCCESS,,True,experimental_results/e4/integrated/e4_baseline_PASS.db,
BASELINE-EVT_TEST_SCAN_02_001,A_BASELINE,real_e1_integrated,EVT_TEST_SCAN_02_001,scan,DONE,THAP,PLAYBOOK_4,SUCCESS,,,,NO,Monitoring/watchlist path; no firewall side effect,queue=DONE; exec=SUCCESS,,True,experimental_results/e4/integrated/e4_baseline_PASS.db,
BASELINE-EVT_TEST_SCAN_03_001,A_BASELINE,real_e1_integrated,EVT_TEST_SCAN_03_001,scan,DONE,TRUNG BINH,PLAYBOOK_2,PENDING,PENDING,,,NO,Monitoring/watchlist path; no firewall side effect,queue=DONE; exec=PENDING,,True,experimental_results/e4/integrated/e4_baseline_PASS.db,
BASELINE-EVT_TEST_EXPLOIT_01_001,A_BASELINE,real_e1_integrated,EVT_TEST_EXPLOIT_01_001,exploit,DONE,CAO,PLAYBOOK_1,PENDING,PENDING,,,NO,HIGH -> HITL PENDING; no unapproved external effect,queue=DONE; exec=PENDING,,True,experimental_results/e4/integrated/e4_baseline_PASS.db,
BASELINE-EVT_TEST_EXPLOIT_02_001,A_BASELINE,real_e1_integrated,EVT_TEST_EXPLOIT_02_001,exploit,DONE,CAO,PLAYBOOK_1,PENDING,PENDING,,,NO,HIGH -> HITL PENDING; no unapproved external effect,queue=DONE; exec=PENDING,,True,experimental_results/e4/integrated/e4_baseline_PASS.db,
BASELINE-EVT_TEST_EXPLOIT_03_001,A_BASELINE,real_e1_integrated,EVT_TEST_EXPLOIT_03_001,exploit,DONE,CAO,PLAYBOOK_1,PENDING,PENDING,,,NO,HIGH -> HITL PENDING; no unapproved external effect,queue=DONE; exec=PENDING,,True,experimental_results/e4/integrated/e4_baseline_PASS.db,
E4-B-DUP-01,B_FAULT_VALIDATION,duplicate_delivery,EVT_TEST_EXPLOIT_01_001,,,,,,,,,NO,"[True, False, False], one durable queue row","insert_results=[True, False, False]; queue_rows=1","insert_results=[True, False, False]; queue_rows=1",True,experimental_results/e4/integrated/e4_phase_b_results.csv,Original E1 payload unchanged.
