case_ref,original_e1_candidate_id,source_run,source_session_id,source_partition,source_cohort,e5_corrected_cohort,source_metadata_path,source_metadata_check,failed_checks,independent_incident_review,main_protocol_approved
LAB-0CAFDE513F7B918AAC,E1_LAM_E5_REMAINING_V6_20260919T165649Z__TEST_DOS_02,E1_LAM_E5_REMAINING_V6_20260919T165649Z,TEST_DOS_02,TEST,,E1 Test,/home/lam/hybrid-nids/experimental_results/E1_LAM_E5_REMAINING_V6_20260919T165649Z/test/TEST_DOS_02/session_metadata.json,PASS,,PENDING_HUMAN_VERIFICATION,False
LAB-18F3677AD3F32331A1,E1_LAM_E5_NEW_TEST_20260919T162748Z__TEST_SCAN_02,E1_LAM_E5_NEW_TEST_20260919T162748Z,TEST_SCAN_02,TEST,,E1 Test,/home/lam/hybrid-nids/experimental_results/E1_LAM_E5_NEW_TEST_20260919T162748Z/test/TEST_SCAN_02/session_metadata.json,PASS,,PENDING_HUMAN_VERIFICATION,False
LAB-1B03F756584474B4C5,E1_LAM_E5_NEW_TEST_20260919T162748Z__TEST_SCAN_03,E1_LAM_E5_NEW_TEST_20260919T162748Z,TEST_SCAN_03,TEST,,E1 Test,/home/lam/hybrid-nids/experimental_results/E1_LAM_E5_NEW_TEST_20260919T162748Z/test/TEST_SCAN_03/session_metadata.json,PASS,,PENDING_HUMAN_VERIFICATION,False
LAB-1CB7C52291327DF157,E1_LAM_E5_REMAINING_V6_20260919T165649Z__TEST_DOS_01,E1_LAM_E5_REMAINING_V6_20260919T165649Z,TEST_DOS_01,TEST,,E1 Test,/home/lam/hybrid-nids/experimental_results/E1_LAM_E5_REMAINING_V6_20260919T165649Z/test/TEST_DOS_01/session_metadata.json,PASS,,PENDING_HUMAN_VERIFICATION,False
LAB-25C5A61264A901A068,E1_LAM_E5_REMAINING_V6_20260919T165649Z__TEST_DOS_04,E1_LAM_E5_REMAINING_V6_20260919T165649Z,TEST_DOS_04,TEST,,E1 Test,/home/lam/hybrid-nids/experimental_results/E1_LAM_E5_REMAINING_V6_20260919T165649Z/test/TEST_DOS_04/session_metadata.json,PASS,,PENDING_HUMAN_VERIFICATION,False
LAB-4832C44FC632AF4496,E1_LAM_E5_LAST6_20260919T171320Z__TEST_EXPLOIT_06,E1_LAM_E5_LAST6_20260919T171320Z,TEST_EXPLOIT_06,TEST,,E1 Test,/home/lam/hybrid-nids/experimental_results/E1_LAM_E5_LAST6_20260919T171320Z/test/TEST_EXPLOIT_06/session_metadata.json,PASS,,PENDING_HUMAN_VERIFICATION,False
LAB-4AA8AAEEA87E99346F,E1_LAM_E5_NEW_TEST_20260919T162748Z__TEST_BRUTE_04,E1_LAM_E5_NEW_TEST_20260919T162748Z,TEST_BRUTE_04,TEST,,E1 Test,/home/lam/hybrid-nids/experimental_results/E1_LAM_E5_NEW_TEST_20260919T162748Z/test/TEST_BRUTE_04/session_metadata.json,PASS,,PENDING_HUMAN_VERIFICATION,False
LAB-4CBA28C0FA7703924C,E1_LAM_E5_LAST6_20260919T171320Z__TEST_EXPLOIT_03,E1_LAM_E5_LAST6_20260919T171320Z,TEST_EXPLOIT_03,TEST,,E1 Test,/home/lam/hybrid-nids/experimental_results/E1_LAM_E5_LAST6_20260919T171320Z/test/TEST_EXPLOIT_03/session_metadata.json,PASS,,PENDING_HUMAN_VERIFICATION,False
LAB-4F84106AD20B85507B,E1_LAM_E5_REMAINING_V6_20260919T165649Z__TEST_DOS_06,E1_LAM_E5_REMAINING_V6_20260919T165649Z,TEST_DOS_06,TEST,,E1 Test,/home/lam/hybrid-nids/experimental_results/E1_LAM_E5_REMAINING_V6_20260919T165649Z/test/TEST_DOS_06/session_metadata.json,PASS,,PENDING_HUMAN_VERIFICATION,False
LAB-5711A8BFA4E7E45E8F,E1_LAM_E5_NEW_TEST_20260919T162748Z__TEST_SCAN_06,E1_LAM_E5_NEW_TEST_20260919T162748Z,TEST_SCAN_06,TEST,,E1 Test,/home/lam/hybrid-nids/experimental_results/E1_LAM_E5_NEW_TEST_20260919T162748Z/test/TEST_SCAN_06/session_metadata.json,PASS,,PENDING_HUMAN_VERIFICATION,False
