run_id,rate_label,rate,is_warmup,benchmark_scope,run_status,offered,sent,failed,achieved_rate_ratio,tcpdump_captured,tcpdump_dropped,suri_alerts,suri_drops,phase_a_flows,phase_b_flows,src_ref_per_pcap,boundary_delta,replay_s,response_events
E6_0.5x_W,0.5x,0.5,True,full_system,COMPLETE,50622,50619,3,0.999328,50619,0,48083,0,5125,6972,7027,55,230.8,105
E6_0.5x_M01,0.5x,0.5,False,full_system,COMPLETE,50622,50619,3,0.999285,50619,0,48083,0,5125,6972,7027,55,230.81,104
E6_0.5x_M02,0.5x,0.5,False,full_system,COMPLETE,50622,50619,3,0.999198,50619,0,48083,0,5125,6972,7027,55,230.83,104
E6_0.5x_M03,0.5x,0.5,False,full_system,COMPLETE,50622,50619,3,0.999242,50619,0,48083,0,5127,6972,7027,55,230.82,105
E6_0.5x_M04,0.5x,0.5,False,full_system,COMPLETE,50622,50619,3,0.999285,50619,0,48083,0,5126,6972,7027,55,230.81,105
E6_0.5x_M05,0.5x,0.5,False,full_system,COMPLETE,50622,50619,3,0.999242,50619,0,48083,0,5127,6972,7027,55,230.82,104
E6_1.0x_W,1.0x,1.0,True,full_system,COMPLETE,50622,50619,3,0.998586,50619,0,48068,0,3702,6928,7027,99,115.485768,80
E6_1.0x_M01,1.0x,1.0,False,full_system,COMPLETE,50622,50619,3,0.998482,50619,0,48068,0,3659,6927,7027,100,115.497754,80
E6_1.0x_M02,1.0x,1.0,False,full_system,COMPLETE,50622,50619,3,0.998357,50619,0,48068,0,3702,6928,7027,99,115.51226,81
E6_1.0x_M03,1.0x,1.0,False,full_system,COMPLETE,50622,50619,3,0.998024,50619,0,48068,0,3703,6928,7027,99,115.550859,80
E6_1.0x_M04,1.0x,1.0,False,full_system,COMPLETE,50622,50619,3,0.99858,50619,0,48068,0,3702,6928,7027,99,115.48645,80
E6_1.0x_M05,1.0x,1.0,False,full_system,COMPLETE,50622,50619,3,0.99851,50619,0,48068,0,3702,6928,7027,99,115.49455,80
E6_2.0x_W,2.0x,2.0,True,full_system,COMPLETE,50622,50619,3,0.997372,50619,0,48061,0,86,6783,7027,244,57.813189,70
E6_2.0x_M01,2.0x,2.0,False,full_system,COMPLETE,50622,50619,3,0.997372,50619,0,48061,0,86,6783,7027,244,57.813182,70
E6_2.0x_M02,2.0x,2.0,False,full_system,COMPLETE,50622,50619,3,0.997487,50619,0,48061,0,86,6783,7027,244,57.806504,71
E6_2.0x_M03,2.0x,2.0,False,full_system,COMPLETE,50622,50619,3,0.997328,50619,0,48061,0,86,6783,7027,244,57.815717,69
E6_2.0x_M04,2.0x,2.0,False,full_system,COMPLETE,50622,50619,3,0.997468,50619,0,48061,0,86,6783,7027,244,57.807587,70
E6_2.0x_M05,2.0x,2.0,False,full_system,COMPLETE,50622,50619,3,0.997521,50619,0,48061,0,86,6783,7027,244,57.804547,69
E6_PP_2.0x_W,PP_2.0x,2.0,True,packet_plane_only,COMPLETE,50622,50619,3,0.998068,50619,0,48049,0,86,6783,7027,244,57.772843,
E6_PP_2.0x_M01,PP_2.0x,2.0,False,packet_plane_only,COMPLETE,50622,50619,3,0.998209,50619,0,48049,0,86,6783,7027,244,57.76467,
E6_PP_2.0x_M02,PP_2.0x,2.0,False,packet_plane_only,COMPLETE,50622,50619,3,0.998252,50619,0,48049,0,89,6783,7027,244,57.762196,
E6_PP_2.0x_M03,PP_2.0x,2.0,False,packet_plane_only,COMPLETE,50622,50619,3,0.998164,50619,0,48049,0,88,6783,7027,244,57.767321,
E6_PP_4.0x_W,PP_4.0x,4.0,True,packet_plane_only,COMPLETE,50622,50619,3,0.996871,50619,0,48045,0,60,6775,7027,252,28.921109,
E6_PP_4.0x_M01,PP_4.0x,4.0,False,packet_plane_only,COMPLETE,50622,50619,3,0.99722,50619,0,48045,0,60,6775,7027,252,28.910986,
E6_PP_4.0x_M02,PP_4.0x,4.0,False,packet_plane_only,COMPLETE,50622,50619,3,0.996857,50619,0,48045,0,59,6775,7027,252,28.921529,
E6_PP_4.0x_M03,PP_4.0x,4.0,False,packet_plane_only,COMPLETE,50622,50619,3,0.997213,50619,0,48045,0,59,6775,7027,252,28.911196,
E6_PP_8.0x_W,PP_8.0x,8.0,True,packet_plane_only,COMPLETE,50622,50619,3,0.994792,50619,0,48044,0,3,6763,7027,264,14.49078,
E6_PP_8.0x_M01,PP_8.0x,8.0,False,packet_plane_only,COMPLETE,50622,50619,3,0.994781,50619,0,48044,0,2,6763,7027,264,14.490945,
E6_PP_8.0x_M02,PP_8.0x,8.0,False,packet_plane_only,COMPLETE,50622,50619,3,0.994848,50619,0,48044,0,4,6763,7027,264,14.489963,
E6_PP_8.0x_M03,PP_8.0x,8.0,False,packet_plane_only,COMPLETE,50622,50619,3,0.995539,50619,0,48044,0,3,6763,7027,264,14.479902,
E6_PP_16.0x_W,PP_16.0x,16.0,True,packet_plane_only,COMPLETE,50622,50619,3,0.991611,50619,0,48043,0,0,6763,7027,264,7.268635,
E6_PP_16.0x_M01,PP_16.0x,16.0,False,packet_plane_only,COMPLETE,50622,50619,3,0.991493,50619,0,48043,0,0,6763,7027,264,7.269497,
E6_PP_16.0x_M02,PP_16.0x,16.0,False,packet_plane_only,COMPLETE,50622,50619,3,0.991639,50619,0,48043,0,0,6763,7027,264,7.268423,
E6_PP_16.0x_M03,PP_16.0x,16.0,False,packet_plane_only,COMPLETE,50622,50619,3,0.990985,50619,0,48043,0,0,6763,7027,264,7.27322,
E6_PP_32.0x_W,PP_32.0x,32.0,True,packet_plane_only,COMPLETE,50622,50619,3,0.983248,50619,0,48042,0,0,6763,7027,264,3.665228,
E6_PP_32.0x_M01,PP_32.0x,32.0,False,packet_plane_only,COMPLETE,50622,50619,3,0.983966,50619,0,48042,0,0,6763,7027,264,3.662554,
E6_PP_32.0x_M02,PP_32.0x,32.0,False,packet_plane_only,COMPLETE,50622,50619,3,0.983825,50619,0,48042,0,0,6763,7027,264,3.663078,
E6_PP_32.0x_M03,PP_32.0x,32.0,False,packet_plane_only,COMPLETE,50622,50619,3,0.985281,50619,0,48042,0,0,6763,7027,264,3.657666,
E6_PP_64.0x_W,PP_64.0x,64.0,True,packet_plane_only,COMPLETE,50622,50619,3,0.97227,50619,0,48042,0,0,6763,7027,264,1.853305,
E6_PP_64.0x_M01,PP_64.0x,64.0,False,packet_plane_only,COMPLETE,50622,50619,3,0.966491,50619,0,48042,0,0,6763,7027,264,1.864388,
E6_PP_64.0x_M02,PP_64.0x,64.0,False,packet_plane_only,COMPLETE,50622,50619,3,0.971424,50619,0,48042,0,0,6763,7027,264,1.85492,
E6_PP_64.0x_M03,PP_64.0x,64.0,False,packet_plane_only,COMPLETE,50622,50619,3,0.968644,50619,0,48042,0,0,6763,7027,264,1.860243,
E6_PP_128.0x_W,PP_128.0x,128.0,True,packet_plane_only,COMPLETE,50622,50619,3,NA_TOPSPEED,50619,0,29036,19007,0,6763,7027,264,0.070614,
E6_PP_128.0x_M01,PP_128.0x,128.0,False,packet_plane_only,COMPLETE,50622,50619,3,NA_TOPSPEED,50619,0,25363,22680,0,6763,7027,264,0.062211,
E6_PP_128.0x_M02,PP_128.0x,128.0,False,packet_plane_only,COMPLETE,50622,50619,3,NA_TOPSPEED,50619,0,27214,20829,0,6763,7027,264,0.064325,
E6_PP_128.0x_M03,PP_128.0x,128.0,False,packet_plane_only,COMPLETE,50622,50619,3,NA_TOPSPEED,50619,0,28049,19994,0,6763,7027,264,0.07316,
E6_PP_96.0x_W,PP_96.0x,96.0,True,packet_plane_only,COMPLETE,50622,50619,3,0.955528,50619,0,48042,0,0,6763,7027,264,1.257185,
E6_PP_96.0x_M01,PP_96.0x,96.0,False,packet_plane_only,COMPLETE,50622,50619,3,0.962625,50619,0,48042,0,0,6763,7027,264,1.247917,
E6_PP_96.0x_M02,PP_96.0x,96.0,False,packet_plane_only,COMPLETE,50622,50619,3,0.961878,50619,0,48042,0,0,6763,7027,264,1.248886,
E6_PP_96.0x_M03,PP_96.0x,96.0,False,packet_plane_only,COMPLETE,50622,50619,3,0.950298,50619,0,48042,0,0,6763,7027,264,1.264104,
E6_PP_112.0x_W,PP_112.0x,112.0,True,packet_plane_only,COMPLETE,50622,50619,3,NA_TOPSPEED,50619,0,28720,19323,0,6763,7027,264,0.071731,
E6_PP_112.0x_M01,PP_112.0x,112.0,False,packet_plane_only,COMPLETE,50622,50619,3,NA_TOPSPEED,50619,0,24177,23866,0,6763,7027,264,0.065138,
E6_PP_112.0x_M02,PP_112.0x,112.0,False,packet_plane_only,COMPLETE,50622,50619,3,NA_TOPSPEED,50619,0,27053,20990,0,6763,7027,264,0.066454,
E6_PP_112.0x_M03,PP_112.0x,112.0,False,packet_plane_only,COMPLETE,50622,50619,3,NA_TOPSPEED,50619,0,31807,16236,0,6763,7027,264,0.083206,
E6_PP_104.0x_W,PP_104.0x,104.0,True,packet_plane_only,COMPLETE,50622,50619,3,NA_TOPSPEED,50619,0,29710,18333,0,6763,7027,264,0.075522,
E6_PP_104.0x_M01,PP_104.0x,104.0,False,packet_plane_only,COMPLETE,50622,50619,3,NA_TOPSPEED,50619,0,28943,19100,0,6763,7027,264,0.077042,
E6_PP_104.0x_M02,PP_104.0x,104.0,False,packet_plane_only,COMPLETE,50622,50619,3,NA_TOPSPEED,50619,0,26819,21223,0,6763,7027,264,0.068795,
E6_PP_104.0x_M03,PP_104.0x,104.0,False,packet_plane_only,COMPLETE,50622,50619,3,NA_TOPSPEED,50619,0,32113,15930,0,6763,7027,264,0.080951,
E6_PP_100.0x_W,PP_100.0x,100.0,True,packet_plane_only,COMPLETE,50622,50619,3,NA_TOPSPEED,50619,0,26631,21412,0,6763,7027,264,0.071878,
E6_PP_100.0x_M01,PP_100.0x,100.0,False,packet_plane_only,COMPLETE,50622,50619,3,NA_TOPSPEED,50619,0,31794,16249,0,6763,7027,264,0.082337,
E6_PP_100.0x_M02,PP_100.0x,100.0,False,packet_plane_only,COMPLETE,50622,50619,3,NA_TOPSPEED,50619,0,34047,13995,0,6763,7027,264,0.086548,
E6_PP_100.0x_M03,PP_100.0x,100.0,False,packet_plane_only,COMPLETE,50622,50619,3,NA_TOPSPEED,50619,0,30475,17568,0,6763,7027,264,0.073224,
E6_PP_98.0x_W,PP_98.0x,98.0,True,packet_plane_only,COMPLETE,50622,50619,3,0.967258,50619,0,48042,0,0,6763,7027,264,1.216594,
E6_PP_98.0x_M01,PP_98.0x,98.0,False,packet_plane_only,COMPLETE,50622,50619,3,0.971407,50619,0,48042,0,0,6763,7027,264,1.211397,
E6_PP_98.0x_M02,PP_98.0x,98.0,False,packet_plane_only,COMPLETE,50622,50619,3,0.96238,50619,0,48042,0,0,6763,7027,264,1.22276,
E6_PP_98.0x_M03,PP_98.0x,98.0,False,packet_plane_only,COMPLETE,50622,50619,3,0.959198,50619,0,48042,0,0,6763,7027,264,1.226817,
E6_PP_99.0x_W,PP_99.0x,99.0,True,packet_plane_only,COMPLETE,50622,50619,3,0.961171,50619,0,48042,0,0,6763,7027,264,1.211931,
E6_PP_99.0x_M01,PP_99.0x,99.0,False,packet_plane_only,COMPLETE,50622,50619,3,0.959933,50619,0,48042,0,0,6763,7027,264,1.213495,
E6_PP_99.0x_M02,PP_99.0x,99.0,False,packet_plane_only,COMPLETE,50622,50619,3,0.949938,50619,0,48042,0,0,6763,7027,264,1.226263,
E6_PP_99.0x_M03,PP_99.0x,99.0,False,packet_plane_only,COMPLETE,50622,50619,3,0.962336,50619,0,48042,0,0,6763,7027,264,1.210464,
E6_PP_98.5x_W,PP_98.5x,98.5,True,packet_plane_only,COMPLETE,50622,50619,3,0.958826,50619,0,48042,0,0,6763,7027,264,1.221063,
E6_PP_98.5x_M01,PP_98.5x,98.5,False,packet_plane_only,COMPLETE,50622,50619,3,0.961803,50619,0,48042,0,0,6763,7027,264,1.217283,
E6_PP_98.5x_M02,PP_98.5x,98.5,False,packet_plane_only,COMPLETE,50622,50619,3,0.959417,50619,0,48042,0,0,6763,7027,264,1.220311,
E6_PP_98.5x_M03,PP_98.5x,98.5,False,packet_plane_only,COMPLETE,50622,50619,3,0.95855,50619,0,48042,0,0,6763,7027,264,1.221414,
E6_PP_98.75x_W,PP_98.75x,98.75,True,packet_plane_only,COMPLETE,50622,50619,3,0.951618,50619,0,48042,0,0,6763,7027,264,1.227197,
E6_PP_98.75x_M01,PP_98.75x,98.75,False,packet_plane_only,COMPLETE,50622,50619,3,0.957118,50619,0,48042,0,0,6763,7027,264,1.220145,
E6_PP_98.75x_M02,PP_98.75x,98.75,False,packet_plane_only,COMPLETE,50622,50619,3,0.959105,50619,0,48042,0,0,6763,7027,264,1.217617,
E6_PP_98.75x_M03,PP_98.75x,98.75,False,packet_plane_only,COMPLETE,50622,50619,3,0.967652,50619,0,48042,0,0,6763,7027,264,1.206862,
E6_PP_98.88x_W,PP_98.88x,98.88,True,packet_plane_only,COMPLETE,50622,50619,3,0.965092,50619,0,48042,0,0,6763,7027,264,1.208473,
E6_PP_98.88x_M01,PP_98.88x,98.88,False,packet_plane_only,COMPLETE,50622,50619,3,0.959219,50619,0,48042,0,0,6763,7027,264,1.215872,
E6_PP_98.88x_M02,PP_98.88x,98.88,False,packet_plane_only,COMPLETE,50622,50619,3,0.959438,50619,0,48042,0,0,6763,7027,264,1.215594,
E6_PP_98.88x_M03,PP_98.88x,98.88,False,packet_plane_only,COMPLETE,50622,50619,3,0.966958,50619,0,48042,0,0,6763,7027,264,1.20614,
E6_PP_98.88x_FINAL_W,PP_98.88x_FINAL,98.88,True,packet_plane_only,COMPLETE,50622,50619,3,0.953737,50619,0,48042,0,0,6763,7027,264,1.22286,
E6_PP_98.88x_FINAL_M01,PP_98.88x_FINAL,98.88,False,packet_plane_only,COMPLETE,50622,50619,3,0.960749,50619,0,48042,0,0,6763,7027,264,1.213936,
E6_PP_98.88x_FINAL_M02,PP_98.88x_FINAL,98.88,False,packet_plane_only,COMPLETE,50622,50619,3,0.967839,50619,0,48042,0,0,6763,7027,264,1.205042,
