rate,n_runs,total_live_flows,flows_before_replay_end,feat_p50_ms,feat_p95_ms,feat_p99_ms,rf_p50_ms,rf_p95_ms,rf_p99_ms,feat_p50_ci_lo_ms,feat_p50_ci_hi_ms,feat_p95_ci_lo_ms,feat_p95_ci_hi_ms,feat_p99_ci_lo_ms,feat_p99_ci_hi_ms,rf_p50_ci_lo_ms,rf_p50_ci_hi_ms,rf_p95_ci_lo_ms,rf_p95_ci_hi_ms,rf_p99_ci_lo_ms,rf_p99_ci_hi_ms
0.5x,5,25630,7258,0.033,0.048,0.059,21.539,25.713,33.301,0.032,0.033,0.048,0.048,0.057,0.059,21.534,21.544,24.992,31.714,33.107,33.502
1.0x,5,18468,2499,0.033,0.048,0.057,21.524,24.408,32.837,0.033,0.033,0.047,0.048,0.056,0.057,21.522,21.525,23.907,25.368,32.62,33.088
2.0x,5,430,425,0.037,0.06,0.124,21.751,32.445,34.529,0.036,0.038,0.058,0.061,0.124,0.134,21.658,21.87,31.899,32.753,34.496,34.94
PP_100.0x,3,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PP_104.0x,3,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PP_112.0x,3,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PP_128.0x,3,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PP_16.0x,3,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PP_2.0x,3,263,262,0.034,0.055,0.119,21.462,22.32,32.444,0.033,0.034,0.055,0.058,0.119,0.222,21.439,21.486,22.217,22.335,32.434,32.743
PP_32.0x,3,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PP_4.0x,3,178,172,0.031,0.057,0.118,21.376,22.802,32.59,0.03,0.032,0.055,0.059,0.102,0.25,21.309,21.448,22.329,32.361,25.471,33.132
PP_64.0x,3,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PP_8.0x,3,9,0,0.047,0.225,0.225,21.527,31.172,31.172,0.042,0.115,0.109,0.225,0.109,0.225,21.508,25.767,25.637,31.172,25.637,31.172
PP_96.0x,3,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PP_98.0x,3,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PP_98.5x,3,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PP_98.75x,3,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PP_98.88x,3,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PP_98.88x_FINAL,5,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PP_99.0x,3,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
