rate,stage,n_flows,n_runs,p50_ms,p95_ms,p99_ms,mean_ms
0.5x,feature_extraction,34860,5,0.027,0.045,0.054,0.03
0.5x,rf_predict,34860,5,21.167,21.367,21.542,20.928
0.5x,detector_total,34860,5,21.196,21.398,21.576,20.957
1.0x,feature_extraction,34639,5,0.027,0.044,0.054,0.029
1.0x,rf_predict,34639,5,21.165,21.363,21.535,20.757
1.0x,detector_total,34639,5,21.194,21.395,21.576,20.787
2.0x,feature_extraction,33915,5,0.027,0.042,0.053,0.029
2.0x,rf_predict,33915,5,21.166,21.366,21.543,20.776
2.0x,detector_total,33915,5,21.195,21.397,21.579,20.805
PP_100.0x,feature_extraction,20289,3,0.027,0.045,0.054,0.029
PP_100.0x,rf_predict,20289,3,21.161,21.352,21.511,20.754
PP_100.0x,detector_total,20289,3,21.19,21.383,21.546,20.784
PP_104.0x,feature_extraction,20289,3,0.027,0.044,0.054,0.03
PP_104.0x,rf_predict,20289,3,21.167,21.358,21.516,20.814
PP_104.0x,detector_total,20289,3,21.196,21.388,21.552,20.844
PP_112.0x,feature_extraction,20289,3,0.027,0.045,0.055,0.03
PP_112.0x,rf_predict,20289,3,21.164,21.357,21.518,20.776
PP_112.0x,detector_total,20289,3,21.193,21.388,21.555,20.806
PP_128.0x,feature_extraction,20289,3,0.027,0.045,0.054,0.03
PP_128.0x,rf_predict,20289,3,21.165,21.359,21.518,20.885
PP_128.0x,detector_total,20289,3,21.194,21.39,21.553,20.915
PP_16.0x,feature_extraction,20289,3,0.027,0.044,0.054,0.029
PP_16.0x,rf_predict,20289,3,21.159,21.35,21.497,20.605
PP_16.0x,detector_total,20289,3,21.188,21.381,21.535,20.635
PP_2.0x,feature_extraction,20349,3,0.027,0.043,0.055,0.03
PP_2.0x,rf_predict,20349,3,21.155,21.343,21.501,20.483
PP_2.0x,detector_total,20349,3,21.185,21.374,21.533,20.512
PP_32.0x,feature_extraction,20289,3,0.027,0.046,0.054,0.029
PP_32.0x,rf_predict,20289,3,21.161,21.353,21.516,20.67
PP_32.0x,detector_total,20289,3,21.191,21.385,21.553,20.7
PP_4.0x,feature_extraction,20325,3,0.027,0.047,0.056,0.03
PP_4.0x,rf_predict,20325,3,21.168,21.363,21.53,20.764
PP_4.0x,detector_total,20325,3,21.198,21.396,21.568,20.794
PP_64.0x,feature_extraction,20289,3,0.027,0.043,0.053,0.03
PP_64.0x,rf_predict,20289,3,21.159,21.35,21.503,20.698
PP_64.0x,detector_total,20289,3,21.189,21.381,21.542,20.727
PP_8.0x,feature_extraction,20289,3,0.027,0.042,0.052,0.03
PP_8.0x,rf_predict,20289,3,21.164,21.422,22.09,20.889
PP_8.0x,detector_total,20289,3,21.193,21.456,22.124,20.919
PP_96.0x,feature_extraction,20289,3,0.027,0.046,0.055,0.03
PP_96.0x,rf_predict,20289,3,21.163,21.355,21.516,20.537
PP_96.0x,detector_total,20289,3,21.193,21.386,21.554,20.567
PP_98.0x,feature_extraction,20289,3,0.027,0.043,0.054,0.03
PP_98.0x,rf_predict,20289,3,21.157,21.348,21.5,20.61
PP_98.0x,detector_total,20289,3,21.186,21.379,21.536,20.639
PP_98.5x,feature_extraction,20289,3,0.027,0.047,0.055,0.03
PP_98.5x,rf_predict,20289,3,21.163,21.357,21.526,20.903
PP_98.5x,detector_total,20289,3,21.193,21.388,21.564,20.933
PP_98.75x,feature_extraction,20289,3,0.027,0.044,0.054,0.03
PP_98.75x,rf_predict,20289,3,21.163,21.356,21.514,20.707
PP_98.75x,detector_total,20289,3,21.193,21.387,21.548,20.737
PP_98.88x,feature_extraction,20289,3,0.027,0.045,0.054,0.03
PP_98.88x,rf_predict,20289,3,21.166,21.363,21.525,20.982
PP_98.88x,detector_total,20289,3,21.196,21.395,21.56,21.011
PP_98.88x_FINAL,feature_extraction,33815,5,0.027,0.043,0.054,0.029
PP_98.88x_FINAL,rf_predict,33815,5,21.163,21.361,21.531,20.754
PP_98.88x_FINAL,detector_total,33815,5,21.192,21.392,21.567,20.783
PP_99.0x,feature_extraction,20289,3,0.027,0.044,0.055,0.03
PP_99.0x,rf_predict,20289,3,21.163,21.353,21.525,20.797
PP_99.0x,detector_total,20289,3,21.192,21.385,21.566,20.827
