rate,stage,metric,n_runs,source,point_ms,ci_lo_ms,ci_hi_ms
0.5x,feature_extraction,P50,5,phase_b_offline,0.027,0.027,0.027
0.5x,feature_extraction,P95,5,phase_b_offline,0.045,0.044,0.046
0.5x,feature_extraction,P99,5,phase_b_offline,0.054,0.054,0.055
0.5x,rf_predict,P50,5,phase_b_offline,21.167,21.164,21.169
0.5x,rf_predict,P95,5,phase_b_offline,21.367,21.365,21.37
0.5x,rf_predict,P99,5,phase_b_offline,21.542,21.529,21.56
0.5x,detector_total,P50,5,phase_b_offline,21.196,21.193,21.2
0.5x,detector_total,P95,5,phase_b_offline,21.398,21.395,21.402
0.5x,detector_total,P99,5,phase_b_offline,21.576,21.568,21.595
0.5x,pa_feature_extraction,P50,5,phase_a_live,0.033,0.032,0.033
0.5x,pa_feature_extraction,P95,5,phase_a_live,0.048,0.048,0.048
0.5x,pa_feature_extraction,P99,5,phase_a_live,0.059,0.057,0.059
0.5x,pa_rf_predict,P50,5,phase_a_live,21.539,21.534,21.544
0.5x,pa_rf_predict,P95,5,phase_a_live,25.713,24.992,31.714
0.5x,pa_rf_predict,P99,5,phase_a_live,33.301,33.107,33.502
0.5x,ds_feature_extraction,P50,5,downstream_live,0.04,0.039,0.041
0.5x,ds_feature_extraction,P95,5,downstream_live,0.067,0.064,0.074
0.5x,ds_feature_extraction,P99,5,downstream_live,0.107,0.095,0.107
0.5x,ds_rf_predict,P50,5,downstream_live,21.853,21.723,21.996
0.5x,ds_rf_predict,P95,5,downstream_live,32.54,32.334,32.75
0.5x,ds_rf_predict,P99,5,downstream_live,34.817,34.211,35.05
0.5x,ds_nids_normalization,P50,5,downstream_live,0.017,0.016,0.018
0.5x,ds_nids_normalization,P95,5,downstream_live,0.024,0.023,0.024
0.5x,ds_nids_normalization,P99,5,downstream_live,0.029,0.026,0.03
0.5x,ds_es_indexing,P50,5,downstream_live,4.267,3.97,4.624
0.5x,ds_es_indexing,P95,5,downstream_live,53.212,52.915,53.416
0.5x,ds_es_indexing,P99,5,downstream_live,61.638,55.33,63.559
0.5x,ds_es_confirmed_to_queue,P50,5,downstream_live,1107.97,1064.774,1152.64
0.5x,ds_es_confirmed_to_queue,P95,5,downstream_live,1877.007,1809.807,2008.916
0.5x,ds_es_confirmed_to_queue,P99,5,downstream_live,2072.704,1947.848,2159.179
0.5x,ds_response_normalization,P50,5,downstream_live,0.038,0.037,0.039
0.5x,ds_response_normalization,P95,5,downstream_live,0.065,0.064,0.068
0.5x,ds_response_normalization,P99,5,downstream_live,0.09,0.079,0.09
0.5x,ds_policy_eval,P50,5,downstream_live,0.009,0.009,0.009
0.5x,ds_policy_eval,P95,5,downstream_live,0.015,0.015,0.016
0.5x,ds_policy_eval,P99,5,downstream_live,0.02,0.018,0.022
0.5x,ds_llm_wait,P50,5,downstream_live,9130.866,9026.268,9251.634
0.5x,ds_llm_wait,P95,5,downstream_live,15060.773,10737.772,15183.412
0.5x,ds_llm_wait,P99,5,downstream_live,16585.719,16219.753,17230.044
0.5x,ds_audit_completion,P50,5,downstream_live,17882.269,17745.643,18098.803
0.5x,ds_audit_completion,P95,5,downstream_live,24489.613,23869.111,25284.713
0.5x,ds_audit_completion,P99,5,downstream_live,30616.788,27103.966,31764.328
0.5x,ds_e2e_flow_to_audit,P50,5,downstream_live,115761.216,113943.915,116490.549
0.5x,ds_e2e_flow_to_audit,P95,5,downstream_live,280708.049,279582.948,282118.454
0.5x,ds_e2e_flow_to_audit,P99,5,downstream_live,298112.072,297428.244,300085.168
0.5x,ds_detector_output_to_normalize,P50,5,downstream_live,0.001,0.001,0.001
0.5x,ds_detector_output_to_normalize,P95,5,downstream_live,0.001,0.001,0.001
0.5x,ds_detector_output_to_normalize,P99,5,downstream_live,0.001,0.001,0.001
1.0x,feature_extraction,P50,5,phase_b_offline,0.027,0.027,0.027
1.0x,feature_extraction,P95,5,phase_b_offline,0.044,0.044,0.045
1.0x,feature_extraction,P99,5,phase_b_offline,0.054,0.054,0.055
1.0x,rf_predict,P50,5,phase_b_offline,21.165,21.16,21.17
1.0x,rf_predict,P95,5,phase_b_offline,21.363,21.354,21.371
1.0x,rf_predict,P99,5,phase_b_offline,21.535,21.521,21.555
1.0x,detector_total,P50,5,phase_b_offline,21.194,21.189,21.2
