run_id,rate,source_ref_per_pcap,phase_a_emitted,phase_a_completeness,phase_b_merged,boundary_delta,phase_b_completeness
E6_0.5x_M01,0.5x,7027,5125,NOT_COMPARABLE_TO_PER_PCAP_REFERENCE,6972,55,NOT_COMPARABLE_TO_PER_PCAP_REFERENCE
E6_0.5x_M02,0.5x,7027,5125,NOT_COMPARABLE_TO_PER_PCAP_REFERENCE,6972,55,NOT_COMPARABLE_TO_PER_PCAP_REFERENCE
E6_0.5x_M03,0.5x,7027,5127,NOT_COMPARABLE_TO_PER_PCAP_REFERENCE,6972,55,NOT_COMPARABLE_TO_PER_PCAP_REFERENCE
E6_0.5x_M04,0.5x,7027,5126,NOT_COMPARABLE_TO_PER_PCAP_REFERENCE,6972,55,NOT_COMPARABLE_TO_PER_PCAP_REFERENCE
E6_0.5x_M05,0.5x,7027,5127,NOT_COMPARABLE_TO_PER_PCAP_REFERENCE,6972,55,NOT_COMPARABLE_TO_PER_PCAP_REFERENCE
E6_1.0x_M01,1.0x,7027,3659,NOT_COMPARABLE_TO_PER_PCAP_REFERENCE,6927,100,NOT_COMPARABLE_TO_PER_PCAP_REFERENCE
E6_1.0x_M02,1.0x,7027,3702,NOT_COMPARABLE_TO_PER_PCAP_REFERENCE,6928,99,NOT_COMPARABLE_TO_PER_PCAP_REFERENCE
E6_1.0x_M03,1.0x,7027,3703,NOT_COMPARABLE_TO_PER_PCAP_REFERENCE,6928,99,NOT_COMPARABLE_TO_PER_PCAP_REFERENCE
E6_1.0x_M04,1.0x,7027,3702,NOT_COMPARABLE_TO_PER_PCAP_REFERENCE,6928,99,NOT_COMPARABLE_TO_PER_PCAP_REFERENCE
E6_1.0x_M05,1.0x,7027,3702,NOT_COMPARABLE_TO_PER_PCAP_REFERENCE,6928,99,NOT_COMPARABLE_TO_PER_PCAP_REFERENCE
E6_2.0x_M01,2.0x,7027,86,NOT_COMPARABLE_TO_PER_PCAP_REFERENCE,6783,244,NOT_COMPARABLE_TO_PER_PCAP_REFERENCE
E6_2.0x_M02,2.0x,7027,86,NOT_COMPARABLE_TO_PER_PCAP_REFERENCE,6783,244,NOT_COMPARABLE_TO_PER_PCAP_REFERENCE
E6_2.0x_M03,2.0x,7027,86,NOT_COMPARABLE_TO_PER_PCAP_REFERENCE,6783,244,NOT_COMPARABLE_TO_PER_PCAP_REFERENCE
E6_2.0x_M04,2.0x,7027,86,NOT_COMPARABLE_TO_PER_PCAP_REFERENCE,6783,244,NOT_COMPARABLE_TO_PER_PCAP_REFERENCE
E6_2.0x_M05,2.0x,7027,86,NOT_COMPARABLE_TO_PER_PCAP_REFERENCE,6783,244,NOT_COMPARABLE_TO_PER_PCAP_REFERENCE
E6_PP_2.0x_M01,PP_2.0x,7027,86,NOT_COMPARABLE_TO_PER_PCAP_REFERENCE,6783,244,NOT_COMPARABLE_TO_PER_PCAP_REFERENCE
E6_PP_2.0x_M02,PP_2.0x,7027,89,NOT_COMPARABLE_TO_PER_PCAP_REFERENCE,6783,244,NOT_COMPARABLE_TO_PER_PCAP_REFERENCE
E6_PP_2.0x_M03,PP_2.0x,7027,88,NOT_COMPARABLE_TO_PER_PCAP_REFERENCE,6783,244,NOT_COMPARABLE_TO_PER_PCAP_REFERENCE
E6_PP_4.0x_M01,PP_4.0x,7027,60,NOT_COMPARABLE_TO_PER_PCAP_REFERENCE,6775,252,NOT_COMPARABLE_TO_PER_PCAP_REFERENCE
E6_PP_4.0x_M02,PP_4.0x,7027,59,NOT_COMPARABLE_TO_PER_PCAP_REFERENCE,6775,252,NOT_COMPARABLE_TO_PER_PCAP_REFERENCE
E6_PP_4.0x_M03,PP_4.0x,7027,59,NOT_COMPARABLE_TO_PER_PCAP_REFERENCE,6775,252,NOT_COMPARABLE_TO_PER_PCAP_REFERENCE
E6_PP_8.0x_M01,PP_8.0x,7027,2,NOT_COMPARABLE_TO_PER_PCAP_REFERENCE,6763,264,NOT_COMPARABLE_TO_PER_PCAP_REFERENCE
E6_PP_8.0x_M02,PP_8.0x,7027,4,NOT_COMPARABLE_TO_PER_PCAP_REFERENCE,6763,264,NOT_COMPARABLE_TO_PER_PCAP_REFERENCE
E6_PP_8.0x_M03,PP_8.0x,7027,3,NOT_COMPARABLE_TO_PER_PCAP_REFERENCE,6763,264,NOT_COMPARABLE_TO_PER_PCAP_REFERENCE
E6_PP_16.0x_M01,PP_16.0x,7027,0,NOT_COMPARABLE_TO_PER_PCAP_REFERENCE,6763,264,NOT_COMPARABLE_TO_PER_PCAP_REFERENCE
E6_PP_16.0x_M02,PP_16.0x,7027,0,NOT_COMPARABLE_TO_PER_PCAP_REFERENCE,6763,264,NOT_COMPARABLE_TO_PER_PCAP_REFERENCE
E6_PP_16.0x_M03,PP_16.0x,7027,0,NOT_COMPARABLE_TO_PER_PCAP_REFERENCE,6763,264,NOT_COMPARABLE_TO_PER_PCAP_REFERENCE
E6_PP_32.0x_M01,PP_32.0x,7027,0,NOT_COMPARABLE_TO_PER_PCAP_REFERENCE,6763,264,NOT_COMPARABLE_TO_PER_PCAP_REFERENCE
E6_PP_32.0x_M02,PP_32.0x,7027,0,NOT_COMPARABLE_TO_PER_PCAP_REFERENCE,6763,264,NOT_COMPARABLE_TO_PER_PCAP_REFERENCE
E6_PP_32.0x_M03,PP_32.0x,7027,0,NOT_COMPARABLE_TO_PER_PCAP_REFERENCE,6763,264,NOT_COMPARABLE_TO_PER_PCAP_REFERENCE
E6_PP_64.0x_M01,PP_64.0x,7027,0,NOT_COMPARABLE_TO_PER_PCAP_REFERENCE,6763,264,NOT_COMPARABLE_TO_PER_PCAP_REFERENCE
E6_PP_64.0x_M02,PP_64.0x,7027,0,NOT_COMPARABLE_TO_PER_PCAP_REFERENCE,6763,264,NOT_COMPARABLE_TO_PER_PCAP_REFERENCE
E6_PP_64.0x_M03,PP_64.0x,7027,0,NOT_COMPARABLE_TO_PER_PCAP_REFERENCE,6763,264,NOT_COMPARABLE_TO_PER_PCAP_REFERENCE
E6_PP_128.0x_M01,PP_128.0x,7027,0,NOT_COMPARABLE_TO_PER_PCAP_REFERENCE,6763,264,NOT_COMPARABLE_TO_PER_PCAP_REFERENCE
