run_id,rate,cpu_mean_pct,cpu_peak_pct,ram_mean_mb,ram_peak_mb,disk_rd_kbs,disk_wr_kbs,n_samples
E6_0.5x_M01,0.5x,27.2,56.7,8150.0,9003.0,0.0,7056.0,498
E6_0.5x_M02,0.5x,27.0,61.8,8153.0,8861.0,0.5,6832.9,497
E6_0.5x_M03,0.5x,27.0,61.9,8114.0,8841.0,0.1,6769.5,498
E6_0.5x_M04,0.5x,26.8,61.2,8147.0,8970.0,0.0,7000.8,498
E6_0.5x_M05,0.5x,27.1,59.6,8157.0,9067.0,0.0,6992.7,498
E6_1.0x_M01,1.0x,26.0,61.6,8096.0,8833.0,0.0,7885.7,384
E6_1.0x_M02,1.0x,26.7,60.9,8153.0,8821.0,0.1,7909.0,384
E6_1.0x_M03,1.0x,25.9,59.2,8116.0,8812.0,0.3,7913.7,384
E6_1.0x_M04,1.0x,26.0,56.7,8134.0,9086.0,0.0,7810.2,384
E6_1.0x_M05,1.0x,26.1,59.6,8139.0,8983.0,0.3,7864.2,384
E6_2.0x_M01,2.0x,23.7,56.4,8126.0,9041.0,0.0,2088.6,327
E6_2.0x_M02,2.0x,23.7,51.8,8055.0,8799.0,0.0,2097.2,327
E6_2.0x_M03,2.0x,23.7,54.8,8108.0,9001.0,0.0,2068.8,327
E6_2.0x_M04,2.0x,23.8,55.0,8125.0,8769.0,0.0,2078.4,327
E6_2.0x_M05,2.0x,23.7,54.8,8166.0,9020.0,0.0,2084.4,327
E6_PP_2.0x_M01,PP_2.0x,1.6,8.0,7433.0,7459.0,0.0,362.2,238
E6_PP_2.0x_M02,PP_2.0x,1.6,7.7,7438.0,7466.0,0.0,356.0,238
E6_PP_2.0x_M03,PP_2.0x,1.6,8.1,7439.0,7468.0,0.0,382.4,238
E6_PP_4.0x_M01,PP_4.0x,0.9,7.8,7450.0,7468.0,0.0,396.9,208
E6_PP_4.0x_M02,PP_4.0x,0.9,8.0,7450.0,7468.0,0.0,393.9,208
E6_PP_4.0x_M03,PP_4.0x,1.0,7.6,7442.0,7464.0,0.0,382.2,209
E6_PP_8.0x_M01,PP_8.0x,0.6,7.6,7439.0,7476.0,0.1,404.1,195
E6_PP_8.0x_M02,PP_8.0x,0.6,7.9,7439.0,7464.0,0.0,389.5,195
E6_PP_8.0x_M03,PP_8.0x,0.6,7.8,7443.0,7470.0,0.0,388.9,195
E6_PP_16.0x_M01,PP_16.0x,0.4,7.9,7446.0,7467.0,0.0,403.5,188
E6_PP_16.0x_M02,PP_16.0x,0.4,7.6,7421.0,7444.0,0.0,432.6,188
E6_PP_16.0x_M03,PP_16.0x,0.4,7.9,7443.0,7477.0,0.0,412.3,188
E6_PP_32.0x_M01,PP_32.0x,0.4,7.8,7442.0,7484.0,0.5,443.9,184
E6_PP_32.0x_M02,PP_32.0x,0.3,7.5,7451.0,7466.0,0.0,427.9,184
E6_PP_32.0x_M03,PP_32.0x,0.3,7.8,7447.0,7485.0,0.7,463.5,184
E6_PP_64.0x_M01,PP_64.0x,0.3,7.1,7446.0,7461.0,0.0,424.1,182
E6_PP_64.0x_M02,PP_64.0x,0.2,7.6,7459.0,7473.0,0.0,412.9,182
E6_PP_64.0x_M03,PP_64.0x,0.2,7.3,7452.0,7471.0,0.0,428.7,182
E6_PP_128.0x_M01,PP_128.0x,0.2,6.8,7453.0,7466.0,0.0,308.3,180
E6_PP_128.0x_M02,PP_128.0x,0.2,7.2,7456.0,7480.0,0.0,335.1,180
E6_PP_128.0x_M03,PP_128.0x,0.2,6.8,7463.0,7478.0,0.0,323.5,180
E6_PP_96.0x_M01,PP_96.0x,0.2,7.0,7458.0,7479.0,0.1,418.2,182
E6_PP_96.0x_M02,PP_96.0x,0.2,7.0,7455.0,7472.0,0.0,430.0,182
E6_PP_96.0x_M03,PP_96.0x,0.3,8.3,7453.0,7472.0,0.0,427.3,182
E6_PP_112.0x_M01,PP_112.0x,0.2,6.8,7461.0,7482.0,0.1,324.0,180
E6_PP_112.0x_M02,PP_112.0x,0.2,7.1,7472.0,7486.0,0.0,328.5,180
E6_PP_112.0x_M03,PP_112.0x,0.2,7.8,7468.0,7482.0,0.0,348.3,180
E6_PP_104.0x_M01,PP_104.0x,0.2,7.1,7462.0,7476.0,0.0,342.2,180
E6_PP_104.0x_M02,PP_104.0x,0.2,7.0,7477.0,7507.0,0.0,325.1,180
