rate_tested,n_meas,achieved_rate_ratio,sender_ratio,capture_ratio,suri_ratio,packet_plane_pass,benchmark_scope
PP_100.0x,3,0,5.9e-05,0.0,0.347043,FAIL,packet_plane_only
PP_104.0x,3,0,5.9e-05,0.0,0.419245,FAIL,packet_plane_only
PP_112.0x,3,0,5.9e-05,0.0,0.471455,FAIL,packet_plane_only
PP_128.0x,3,0,5.9e-05,0.0,0.448027,FAIL,packet_plane_only
PP_16.0x,3,0.990985,5.9e-05,0.0,0.0,PASS,packet_plane_only
PP_2.0x,3,0.998164,5.9e-05,0.0,0.0,PASS,packet_plane_only
PP_32.0x,3,0.983825,5.9e-05,0.0,0.0,PASS,packet_plane_only
PP_4.0x,3,0.996857,5.9e-05,0.0,0.0,PASS,packet_plane_only
PP_64.0x,3,0.966491,5.9e-05,0.0,0.0,PASS,packet_plane_only
PP_8.0x,3,0.994781,5.9e-05,0.0,0.0,PASS,packet_plane_only
PP_96.0x,3,0.950298,5.9e-05,0.0,0.0,PASS,packet_plane_only
PP_98.0x,3,0.959198,5.9e-05,0.0,0.0,PASS,packet_plane_only
PP_98.5x,3,0.95855,5.9e-05,0.0,0.0,PASS,packet_plane_only
PP_98.75x,3,0.957118,5.9e-05,0.0,0.0,PASS,packet_plane_only
PP_98.88x,3,0.959219,5.9e-05,0.0,0.0,PASS,packet_plane_only
PP_98.88x_FINAL,5,0.958064,5.9e-05,0.0,0.0,PASS,packet_plane_only
PP_99.0x,3,0.949938,5.9e-05,0.0,0.0,FAIL,packet_plane_only
