run_id,rate,peak_depth,mean_depth,drain_time_s,drain_met,dead_count,stage_failures,active_at_stop,last_insert_utc,drained_utc,n_queue_samples
E6_0.5x_M01,0.5x,5053,2338.4,NOT_DRAINED,False,0,0,5019,2026-09-20T09:24:23.471Z,NA,251
E6_0.5x_M02,0.5x,5052,2336.1,NOT_DRAINED,False,0,0,5019,2026-09-20T09:36:02.821Z,NA,251
E6_0.5x_M03,0.5x,5053,2341.2,NOT_DRAINED,False,0,0,5019,2026-09-20T09:47:42.702Z,NA,251
E6_0.5x_M04,0.5x,5052,2336.1,NOT_DRAINED,False,0,0,5018,2026-09-20T09:59:31.990Z,NA,251
E6_0.5x_M05,0.5x,5055,2339.4,NOT_DRAINED,False,0,0,5021,2026-09-20T10:11:15.638Z,NA,251
E6_1.0x_M01,1.0x,3617,2145.2,NOT_DRAINED,False,0,0,3579,2026-09-20T10:30:05.043Z,NA,194
E6_1.0x_M02,1.0x,3661,2164.1,NOT_DRAINED,False,0,0,3621,2026-09-20T10:39:43.427Z,NA,194
E6_1.0x_M03,1.0x,3662,2166.5,NOT_DRAINED,False,0,0,3623,2026-09-20T10:49:34.771Z,NA,194
E6_1.0x_M04,1.0x,3659,2159.6,NOT_DRAINED,False,0,0,3622,2026-09-20T10:59:20.175Z,NA,194
E6_1.0x_M05,1.0x,3659,2160.8,NOT_DRAINED,False,0,0,3623,2026-09-20T11:09:08.828Z,NA,194
E6_2.0x_M01,2.0x,77,41.8,NOT_DRAINED,False,0,0,16,2026-09-20T11:24:37.694Z,NA,165
E6_2.0x_M02,2.0x,78,41.6,NOT_DRAINED,False,0,0,15,2026-09-20T11:33:24.552Z,NA,165
E6_2.0x_M03,2.0x,78,41.9,NOT_DRAINED,False,0,0,17,2026-09-20T11:42:10.093Z,NA,165
E6_2.0x_M04,2.0x,77,41.4,NOT_DRAINED,False,0,0,16,2026-09-20T11:50:58.219Z,NA,165
E6_2.0x_M05,2.0x,77,42.0,NOT_DRAINED,False,0,0,17,2026-09-20T11:59:44.042Z,NA,165
E6_PP_2.0x_M01,PP_2.0x,NA,NA,NA,NA,0,0,NA,NA,NA,0
E6_PP_2.0x_M02,PP_2.0x,NA,NA,NA,NA,0,0,NA,NA,NA,0
E6_PP_2.0x_M03,PP_2.0x,NA,NA,NA,NA,0,0,NA,NA,NA,0
E6_PP_4.0x_M01,PP_4.0x,NA,NA,NA,NA,0,0,NA,NA,NA,0
E6_PP_4.0x_M02,PP_4.0x,NA,NA,NA,NA,0,0,NA,NA,NA,0
E6_PP_4.0x_M03,PP_4.0x,NA,NA,NA,NA,0,0,NA,NA,NA,0
E6_PP_8.0x_M01,PP_8.0x,NA,NA,NA,NA,0,0,NA,NA,NA,0
E6_PP_8.0x_M02,PP_8.0x,NA,NA,NA,NA,0,0,NA,NA,NA,0
E6_PP_8.0x_M03,PP_8.0x,NA,NA,NA,NA,0,0,NA,NA,NA,0
E6_PP_16.0x_M01,PP_16.0x,NA,NA,NA,NA,0,0,NA,NA,NA,0
E6_PP_16.0x_M02,PP_16.0x,NA,NA,NA,NA,0,0,NA,NA,NA,0
E6_PP_16.0x_M03,PP_16.0x,NA,NA,NA,NA,0,0,NA,NA,NA,0
E6_PP_32.0x_M01,PP_32.0x,NA,NA,NA,NA,0,0,NA,NA,NA,0
E6_PP_32.0x_M02,PP_32.0x,NA,NA,NA,NA,0,0,NA,NA,NA,0
E6_PP_32.0x_M03,PP_32.0x,NA,NA,NA,NA,0,0,NA,NA,NA,0
E6_PP_64.0x_M01,PP_64.0x,NA,NA,NA,NA,0,0,NA,NA,NA,0
E6_PP_64.0x_M02,PP_64.0x,NA,NA,NA,NA,0,0,NA,NA,NA,0
E6_PP_64.0x_M03,PP_64.0x,NA,NA,NA,NA,0,0,NA,NA,NA,0
E6_PP_128.0x_M01,PP_128.0x,NA,NA,NA,NA,0,0,NA,NA,NA,0
E6_PP_128.0x_M02,PP_128.0x,NA,NA,NA,NA,0,0,NA,NA,NA,0
E6_PP_128.0x_M03,PP_128.0x,NA,NA,NA,NA,0,0,NA,NA,NA,0
E6_PP_96.0x_M01,PP_96.0x,NA,NA,NA,NA,0,0,NA,NA,NA,0
E6_PP_96.0x_M02,PP_96.0x,NA,NA,NA,NA,0,0,NA,NA,NA,0
E6_PP_96.0x_M03,PP_96.0x,NA,NA,NA,NA,0,0,NA,NA,NA,0
E6_PP_112.0x_M01,PP_112.0x,NA,NA,NA,NA,0,0,NA,NA,NA,0
E6_PP_112.0x_M02,PP_112.0x,NA,NA,NA,NA,0,0,NA,NA,NA,0
E6_PP_112.0x_M03,PP_112.0x,NA,NA,NA,NA,0,0,NA,NA,NA,0
E6_PP_104.0x_M01,PP_104.0x,NA,NA,NA,NA,0,0,NA,NA,NA,0
E6_PP_104.0x_M02,PP_104.0x,NA,NA,NA,NA,0,0,NA,NA,NA,0
E6_PP_104.0x_M03,PP_104.0x,NA,NA,NA,NA,0,0,NA,NA,NA,0
E6_PP_100.0x_M01,PP_100.0x,NA,NA,NA,NA,0,0,NA,NA,NA,0
E6_PP_100.0x_M02,PP_100.0x,NA,NA,NA,NA,0,0,NA,NA,NA,0
