rate,n_meas,benchmark_scope,mean_replay_s,src_ref_per_pcap,mean_a_flows,mean_b_flows,max_sender_ratio,max_cap_ratio,max_suri_ratio,mean_resp_events,max_sustainable
0.5x,5,full_system,230.818,7027,5126.0,6972.0,5.9e-05,0.0,0.0,104.0,NOT_ESTABLISHED
1.0x,5,full_system,115.508,7027,3694.0,6928.0,5.9e-05,0.0,0.0,80.0,NOT_ESTABLISHED
2.0x,5,full_system,57.81,7027,86.0,6783.0,5.9e-05,0.0,0.0,70.0,NOT_ESTABLISHED
PP_100.0x,3,packet_plane_only,0.081,7027,0.0,6763.0,5.9e-05,0.0,0.347043,NA,NOT_ESTABLISHED
PP_104.0x,3,packet_plane_only,0.076,7027,0.0,6763.0,5.9e-05,0.0,0.419245,NA,NOT_ESTABLISHED
PP_112.0x,3,packet_plane_only,0.072,7027,0.0,6763.0,5.9e-05,0.0,0.471455,NA,NOT_ESTABLISHED
PP_128.0x,3,packet_plane_only,0.067,7027,0.0,6763.0,5.9e-05,0.0,0.448027,NA,NOT_ESTABLISHED
PP_16.0x,3,packet_plane_only,7.27,7027,0.0,6763.0,5.9e-05,0.0,0.0,NA,NOT_ESTABLISHED
PP_2.0x,3,packet_plane_only,57.765,7027,88.0,6783.0,5.9e-05,0.0,0.0,NA,NOT_ESTABLISHED
PP_32.0x,3,packet_plane_only,3.661,7027,0.0,6763.0,5.9e-05,0.0,0.0,NA,NOT_ESTABLISHED
PP_4.0x,3,packet_plane_only,28.915,7027,59.0,6775.0,5.9e-05,0.0,0.0,NA,NOT_ESTABLISHED
PP_64.0x,3,packet_plane_only,1.86,7027,0.0,6763.0,5.9e-05,0.0,0.0,NA,NOT_ESTABLISHED
PP_8.0x,3,packet_plane_only,14.487,7027,3.0,6763.0,5.9e-05,0.0,0.0,NA,NOT_ESTABLISHED
PP_96.0x,3,packet_plane_only,1.254,7027,0.0,6763.0,5.9e-05,0.0,0.0,NA,NOT_ESTABLISHED
PP_98.0x,3,packet_plane_only,1.22,7027,0.0,6763.0,5.9e-05,0.0,0.0,NA,NOT_ESTABLISHED
PP_98.5x,3,packet_plane_only,1.22,7027,0.0,6763.0,5.9e-05,0.0,0.0,NA,NOT_ESTABLISHED
PP_98.75x,3,packet_plane_only,1.215,7027,0.0,6763.0,5.9e-05,0.0,0.0,NA,NOT_ESTABLISHED
PP_98.88x,3,packet_plane_only,1.213,7027,0.0,6763.0,5.9e-05,0.0,0.0,NA,NOT_ESTABLISHED
PP_98.88x_FINAL,5,packet_plane_only,1.213,7027,0.0,6763.0,5.9e-05,0.0,0.0,NA,NOT_ESTABLISHED
PP_99.0x,3,packet_plane_only,1.217,7027,0.0,6763.0,5.9e-05,0.0,0.0,NA,NOT_ESTABLISHED
