trace_id,run_id,rate,repetition,e6_member_count,e6_campaign_proxy,e6_llm_route,e6_llm_reason,es_id,category,src_ip,severity,playbook,t_queue_inserted,queue_timestamp_source,queue_record_created_at,t_worker_start,trace_outcome,t_failure_observed,t_normalize_start,t_normalize_end,t_policy_start,t_policy_decision,t_llm_request,t_llm_response,llm_invoked,llm_semaphore_wait_ms,llm_slot_occupied_ms,llm_attempt_count,llm_attempt_details,t_exec_request,t_exec_effect,exec_invoked,t_audit_complete,t_initial_audit_committed,t_queue_done,queue_completed_status,policy_rule_eval_ms,policy_config_read_ms,safety_gate_total_ms,model_wait_total_ms,model_call_total_ms,model_http_attempts,t_model_http_start,t_model_http_end,t_approval_requested,approval_state,t_external_request,t_external_returned,external_mode,external_effect_verified,audit_scope,worker_name,trace_phase,incident_id,t_admin_decision_received,t_final_audit_committed,t_final_state_verified,final_execution_status,final_approval_status,approval_db_wait_ms,approval_wait_definition,external_dry_run_call_ms
laptop_0p5_20260923T041407Z_e6_laptop_0p5_20260923T041407Z_INC_e590c049ea714f391284afeb,laptop_0p5_20260923T041407Z,0.5,0,25,E1_TEST_NORMAL_01,NA,NA,e6_laptop_0p5_20260923T041407Z_INC_e590c049ea714f391284afeb,NORMAL_UNVERIFIED,NA,NA,NA,1790136858.356088,AFTER_INSERT_QUEUE_RETURN_MEMORY,2026-09-23T04:14:18.353645+00:00,1790136858.613965,QUARANTINED_NORMAL_REVIEW_REQUIRED_NO_RESPONSE,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,1790136858.622602,DONE,0,0,0,0,0,0,NA,NA,NA,NOT_APPLICABLE,NA,NA,NA,NOT_MEASURED,E6_NORMAL_QUARANTINE_SQLITE_NOT_SECURITY_RESPONSE,worker-1,INITIAL_WORKER,NA,NA,NA,NA,NA,NA,NA,NA,NA
laptop_0p5_20260923T041407Z_e6_laptop_0p5_20260923T041407Z_INC_0e836ce4fc592feb012bec7c,laptop_0p5_20260923T041407Z,0.5,0,24,E1_TEST_NORMAL_02,NA,NA,e6_laptop_0p5_20260923T041407Z_INC_0e836ce4fc592feb012bec7c,NORMAL_UNVERIFIED,NA,NA,NA,1790136860.507285,AFTER_INSERT_QUEUE_RETURN_MEMORY,2026-09-23T04:14:20.504087+00:00,1790136860.621870,QUARANTINED_NORMAL_REVIEW_REQUIRED_NO_RESPONSE,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,1790136860.625535,DONE,0,0,0,0,0,0,NA,NA,NA,NOT_APPLICABLE,NA,NA,NA,NOT_MEASURED,E6_NORMAL_QUARANTINE_SQLITE_NOT_SECURITY_RESPONSE,worker-2,INITIAL_WORKER,NA,NA,NA,NA,NA,NA,NA,NA,NA
laptop_0p5_20260923T041407Z_e6_laptop_0p5_20260923T041407Z_INC_0ee6f94d41cc5fbe5df81d07,laptop_0p5_20260923T041407Z,0.5,0,25,E1_TEST_NORMAL_03,NA,NA,e6_laptop_0p5_20260923T041407Z_INC_0ee6f94d41cc5fbe5df81d07,NORMAL_UNVERIFIED,NA,NA,NA,1790136862.619993,AFTER_INSERT_QUEUE_RETURN_MEMORY,2026-09-23T04:14:22.614989+00:00,1790136862.631228,QUARANTINED_NORMAL_REVIEW_REQUIRED_NO_RESPONSE,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,1790136862.635329,DONE,0,0,0,0,0,0,NA,NA,NA,NOT_APPLICABLE,NA,NA,NA,NOT_MEASURED,E6_NORMAL_QUARANTINE_SQLITE_NOT_SECURITY_RESPONSE,worker-3,INITIAL_WORKER,NA,NA,NA,NA,NA,NA,NA,NA,NA
laptop_0p5_20260923T041407Z_e6_laptop_0p5_20260923T041407Z_INC_1b944f09333d7d6ef9ad5f22,laptop_0p5_20260923T041407Z,0.5,0,727,E1_TEST_SCAN_01,STATIC_RAG,STATIC_RAG_POLICY_LOW_MONITOR,e6_laptop_0p5_20260923T041407Z_INC_1b944f09333d7d6ef9ad5f22,SUSPICIOUS_SCAN,192.168.10.101,THAP,PLAYBOOK_4,1790136891.146838,AFTER_INSERT_QUEUE_RETURN_MEMORY,2026-09-23T04:14:51.144739+00:00,1790136891.372049,INITIAL_AUDIT_COMMITTED,NA,1790136891.372179,1790136891.372409,1790136891.373999,1790136891.374043,NA,NA,0,NA,NA,NA,NA,NA,NA,0,1790136891.386666,1790136891.386641,1790136891.531971,DONE,0.034787,0.643656,0.762355,0,0,0,NA,NA,NA,NOT_APPLICABLE,NA,NA,NA,NOT_MEASURED,FINAL_WITHOUT_HUMAN_APPROVAL,worker-4,INITIAL_WORKER,1,NA,1790136891.386663,NA,NA,NA,NA,NA,NA
laptop_0p5_20260923T041407Z_e6_laptop_0p5_20260923T041407Z_INC_47e79d83d94739b0cb5976ad,laptop_0p5_20260923T041407Z,0.5,0,54,E1_TEST_SCAN_01,STATIC_RAG,STATIC_RAG_POLICY_LOW_MONITOR,e6_laptop_0p5_20260923T041407Z_INC_47e79d83d94739b0cb5976ad,SUSPICIOUS_SCAN,192.168.10.101,THAP,PLAYBOOK_4,1790136893.468854,AFTER_INSERT_QUEUE_RETURN_MEMORY,2026-09-23T04:14:53.466757+00:00,1790136893.882005,INITIAL_AUDIT_COMMITTED,NA,1790136893.882129,1790136893.882237,1790136893.883967,1790136893.884009,NA,NA,0,NA,NA,NA,NA,NA,NA,0,1790136893.895933,1790136893.895912,1790136893.989882,DONE,0.034410,0.644086,0.757357,0,0,0,NA,NA,NA,NOT_APPLICABLE,NA,NA,NA,NOT_MEASURED,FINAL_WITHOUT_HUMAN_APPROVAL,worker-1,INITIAL_WORKER,2,NA,1790136893.895932,NA,NA,NA,NA,NA,NA
laptop_0p5_20260923T041407Z_e6_laptop_0p5_20260923T041407Z_INC_a1594cf30ee449036038427e,laptop_0p5_20260923T041407Z,0.5,0,772,E1_TEST_SCAN_02,LLM_RESERVED,MEDIUM_MULTIFLOW_INCIDENT,e6_laptop_0p5_20260923T041407Z_INC_a1594cf30ee449036038427e,SUSPICIOUS_SCAN,192.168.10.101,THAP,PLAYBOOK_4,1790136920.392170,AFTER_INSERT_QUEUE_RETURN_MEMORY,2026-09-23T04:15:20.389566+00:00,1790136920.421303,INITIAL_AUDIT_COMMITTED,NA,1790136920.421389,1790136920.421448,1790136920.422062,1790136920.422080,1790136920.427510,1790136989.593874,1,0.006,60600.61,1,"[{""attempt"": 1, ""analysis_mode"": ""MEDIUM_PRE"", ""model"": ""llama3.2:3b"", ""semaphore_wait_ms"": 0.006, ""slot_occupied_ms"": 60600.61}]",NA,NA,0,NA,1790136989.596655,1790136989.833354,DONE,0.014903,0.197369,0.242318,0.006,60600.529299,1,1790136920.427721,1790136989.586303,1790136989.829962,PENDING_HUMAN,NA,NA,NA,NOT_MEASURED,INITIAL_AUDIT_PENDING_HUMAN,worker-2,INITIAL_WORKER,3,NA,NA,NA,NA,NA,NA,NA,NA
laptop_0p5_20260923T041407Z_e6_laptop_0p5_20260923T041407Z_INC_0dfde71202698183f099886d,laptop_0p5_20260923T041407Z,0.5,0,94,E1_TEST_EXPLOIT_01,NA,NA,e6_laptop_0p5_20260923T041407Z_INC_0dfde71202698183f099886d,EXPLOIT,192.168.10.101,CAO,PLAYBOOK_1,1790137014.757429,AFTER_INSERT_QUEUE_RETURN_MEMORY,2026-09-23T04:16:54.754470+00:00,1790137015.254873,INITIAL_AUDIT_COMMITTED,NA,1790137015.255040,1790137015.255201,1790137015.256513,1790137015.256564,NA,NA,0,NA,NA,NA,NA,1790137015.256866,NA,1,1790137015.267364,1790137015.267298,1790137015.274602,DONE,0.045122,0.282023,1.062618,0,0,0,NA,NA,NA,NOT_APPLICABLE,1790137015.256870,1790137015.257574,DRY_RUN,NOT_APPLICABLE_DRY_RUN,FINAL_WITHOUT_HUMAN_APPROVAL,worker-1,INITIAL_WORKER,4,NA,1790137015.267361,NA,NA,NA,NA,NA,NA
laptop_0p5_20260923T041407Z_e6_laptop_0p5_20260923T041407Z_INC_ef2c294d7052bd84afa5d31c,laptop_0p5_20260923T041407Z,0.5,0,517,E1_TEST_EXPLOIT_01,NA,NA,e6_laptop_0p5_20260923T041407Z_INC_ef2c294d7052bd84afa5d31c,EXPLOIT,192.168.10.101,CAO,PLAYBOOK_1,1790137024.298274,AFTER_INSERT_QUEUE_RETURN_MEMORY,2026-09-23T04:17:04.291447+00:00,1790137024.311921,INITIAL_AUDIT_COMMITTED,NA,1790137024.312114,1790137024.312201,1790137024.313081,1790137024.313108,NA,NA,0,NA,NA,NA,NA,1790137024.313384,NA,1,1790137024.317341,1790137024.317314,1790137024.320140,DONE,0.022197,0.264020,0.838480,0,0,0,NA,NA,NA,NOT_APPLICABLE,1790137024.313386,1790137024.313996,DRY_RUN,NOT_APPLICABLE_DRY_RUN,FINAL_WITHOUT_HUMAN_APPROVAL,worker-2,INITIAL_WORKER,5,NA,1790137024.317339,NA,NA,NA,NA,NA,NA
laptop_0p5_20260923T041407Z_e6_laptop_0p5_20260923T041407Z_INC_3e5a4b7ec675bc064ab4f32e,laptop_0p5_20260923T041407Z,0.5,0,572,E1_TEST_EXPLOIT_01,NA,NA,e6_laptop_0p5_20260923T041407Z_INC_3e5a4b7ec675bc064ab4f32e,EXPLOIT,192.168.10.101,CAO,PLAYBOOK_1,1790137032.405649,AFTER_INSERT_QUEUE_RETURN_MEMORY,2026-09-23T04:17:12.397251+00:00,1790137032.837760,INITIAL_AUDIT_COMMITTED,NA,1790137032.837839,1790137032.837902,1790137032.838468,1790137032.838487,NA,NA,0,NA,NA,NA,NA,1790137032.838693,NA,1,1790137032.841402,1790137032.841383,1790137032.844384,DONE,0.015495,0.200678,0.661969,0,0,0,NA,NA,NA,NOT_APPLICABLE,1790137032.838695,1790137032.839156,DRY_RUN,NOT_APPLICABLE_DRY_RUN,FINAL_WITHOUT_HUMAN_APPROVAL,worker-1,INITIAL_WORKER,6,NA,1790137032.841401,NA,NA,NA,NA,NA,NA
laptop_0p5_20260923T041407Z_e6_laptop_0p5_20260923T041407Z_INC_8a3a5b7995176107ef9ad150,laptop_0p5_20260923T041407Z,0.5,0,610,E1_TEST_SCAN_03,LLM_RESERVED,MEDIUM_MULTIFLOW_INCIDENT,e6_laptop_0p5_20260923T041407Z_INC_8a3a5b7995176107ef9ad150,SUSPICIOUS_SCAN,192.168.10.101,THAP,PLAYBOOK_4,1790136948.548789,AFTER_INSERT_QUEUE_RETURN_MEMORY,2026-09-23T04:15:48.543913+00:00,1790136948.695438,INITIAL_AUDIT_COMMITTED,NA,1790136948.695534,1790136948.695632,1790136948.697252,1790136948.697284,1790136948.712593,1790137042.303649,1,35047.472,49657.831,1,"[{""attempt"": 1, ""analysis_mode"": ""MEDIUM_PRE"", ""model"": ""llama3.2:3b"", ""semaphore_wait_ms"": 35047.472, ""slot_occupied_ms"": 49657.831}]",NA,NA,0,NA,1790137042.309154,1790137042.427587,DONE,0.027041,0.421865,0.545172,35047.472,49657.788740,1,1790136989.592086,1790137042.302237,1790137042.424840,PENDING_HUMAN,NA,NA,NA,NOT_MEASURED,INITIAL_AUDIT_PENDING_HUMAN,worker-3,INITIAL_WORKER,7,NA,NA,NA,NA,NA,NA,NA,NA
