hour_utc,suri_alerts,rf_reference_positive,rf_live_emitted_positive,incidents,HYBRID_CORRELATED,BOTH_UNCORRELATED,SURICATA_ONLY,RF_ONLY_REVIEW,BENIGN,drift_alarm_minutes,resource_samples,cpu_mean_pct,ram_mean_mb,root_free_gib_min
2026-09-21T10:00:00Z,495624,611028,123204,45,9,,,36,,45,47,10.25,11846.2,1442.51
2026-09-21T11:00:00Z,495846,611121,168599,48,9,,,39,,60,60,10.26,11917.6,1423.59
2026-09-21T12:00:00Z,662436,814611,168325,57,12,,,45,,60,60,10.42,11956.2,1401.27
2026-09-21T13:00:00Z,496064,611028,168418,45,9,,,36,,60,60,10.27,12133.9,1381.77
2026-09-21T14:00:00Z,661672,814704,168451,60,12,,,48,,60,60,10.39,12505.4,1359.48
2026-09-21T15:00:00Z,496568,611028,168513,45,9,,,36,,60,60,10.21,12541.7,1339.98
2026-09-21T16:00:00Z,660398,810293,168474,57,12,,,45,,60,60,10.34,12514.7,1318.53
2026-09-21T17:00:00Z,494564,615439,167898,48,9,,,39,,60,59,10.27,12522.0,1298.41
2026-09-21T18:00:00Z,495648,611121,168502,48,9,,,39,,60,60,10.21,12509.0,1278.91
2026-09-21T19:00:00Z,659780,814611,168451,57,12,,,45,,60,60,10.41,12458.3,1256.63
2026-09-21T20:00:00Z,496458,611028,168478,45,9,,,36,,60,60,10.28,12445.8,1237.14
2026-09-21T21:00:00Z,660624,814704,168391,60,12,,,48,,60,60,10.43,12437.8,1214.83
2026-09-21T22:00:00Z,495468,611028,168493,45,9,,,36,,60,60,10.26,12430.0,1195.33
2026-09-21T23:00:00Z,660624,810293,168409,57,12,,,45,,60,60,10.42,12445.0,1174.28
2026-09-22T00:00:00Z,495944,615439,168475,48,9,,,39,,60,60,10.33,12414.5,1153.53
2026-09-22T01:00:00Z,496196,611121,168487,48,9,,,39,,60,60,10.3,12441.9,1133.99
2026-09-22T02:00:00Z,660768,814611,168447,57,12,,,45,,60,60,10.49,12427.7,1111.71
2026-09-22T03:00:00Z,495468,611028,168492,45,9,,,36,,60,60,10.34,12422.2,1092.22
2026-09-22T04:00:00Z,660624,814704,168413,60,12,,,48,,60,60,10.42,12350.5,1069.94
2026-09-22T05:00:00Z,495468,611028,168616,45,9,,,36,,60,60,10.01,11553.5,1050.41
2026-09-22T06:00:00Z,662942,810293,168536,57,12,,,45,,60,60,10.14,11546.4,1028.97
2026-09-22T07:00:00Z,495910,615439,168601,48,9,,,39,,60,60,10.02,11556.5,1008.59
2026-09-22T08:00:00Z,495354,613670,168689,52,9,,,43,,60,60,9.77,11511.3,989.08
2026-09-22T09:00:00Z,657776,812062,168549,53,12,,,41,,60,60,10.0,11532.4,966.77
2026-09-22T10:00:00Z,495468,611028,168663,45,9,,,36,,60,59,9.79,11511.0,947.43
2026-09-22T11:00:00Z,660716,814704,168563,60,12,,,48,,60,60,9.94,11528.8,925.12
2026-09-22T12:00:00Z,,,37436,,,,,,,14,14,8.33,11527.3,922.53
