cycle,session_index,session_id,start_utc,end_utc,start_epoch,end_epoch,offered_packets,sent_packets,failed_packets,returncode,accounting_ok,tcpreplay_duration_s,suricata_alerts,rf_reference_positive,provenance_tier,source_timestamp_correlated,min_alert_rf_delta_s,incident_key
1,0,E1_TEST_NORMAL_01,2026-09-21T10:13:36.417394Z,2026-09-21T10:14:06.080863Z,1789985616.417394,1789985646.080863,333,333,0,0,1,29.62,0,31,RF_ONLY_REVIEW,0,,E7:001:E1_TEST_NORMAL_01
1,1,E1_TEST_NORMAL_02,2026-09-21T10:14:06.582678Z,2026-09-21T10:14:36.311934Z,1789985646.582678,1789985676.311934,333,333,0,0,1,29.68,0,31,RF_ONLY_REVIEW,0,,E7:001:E1_TEST_NORMAL_02
1,2,E1_TEST_NORMAL_03,2026-09-21T10:14:36.813720Z,2026-09-21T10:15:06.803911Z,1789985676.813720,1789985706.803911,336,336,0,0,1,29.93,0,31,RF_ONLY_REVIEW,0,,E7:001:E1_TEST_NORMAL_03
1,3,E1_TEST_SCAN_01,2026-09-21T10:15:07.305725Z,2026-09-21T10:15:07.974897Z,1789985707.305725,1789985707.974897,1729,1729,0,0,1,0.625138,0,845,RF_ONLY_REVIEW,0,,E7:001:E1_TEST_SCAN_01
1,4,E1_TEST_SCAN_02,2026-09-21T10:15:08.479324Z,2026-09-21T10:15:09.104945Z,1789985708.479324,1789985709.104945,1715,1715,0,0,1,0.558623,0,837,RF_ONLY_REVIEW,0,,E7:001:E1_TEST_SCAN_02
1,5,E1_TEST_SCAN_03,2026-09-21T10:15:09.608196Z,2026-09-21T10:15:11.215150Z,1789985709.608196,1789985711.215150,1760,1760,0,0,1,1.55,0,861,RF_ONLY_REVIEW,0,,E7:001:E1_TEST_SCAN_03
1,6,E1_TEST_BRUTE_01,2026-09-21T10:15:11.718479Z,2026-09-21T10:15:22.976879Z,1789985711.718479,1789985722.976879,207,207,0,0,1,11.2,0,6,RF_ONLY_REVIEW,0,,E7:001:E1_TEST_BRUTE_01
1,7,E1_TEST_BRUTE_02,2026-09-21T10:15:23.478137Z,2026-09-21T10:15:34.592906Z,1789985723.478137,1789985734.592906,216,216,0,0,1,11.06,0,6,RF_ONLY_REVIEW,0,,E7:001:E1_TEST_BRUTE_02
1,8,E1_TEST_BRUTE_03,2026-09-21T10:15:35.094992Z,2026-09-21T10:15:46.265028Z,1789985735.094992,1789985746.265028,214,214,0,0,1,11.1,0,6,RF_ONLY_REVIEW,0,,E7:001:E1_TEST_BRUTE_03
1,9,E1_TEST_DOS_01,2026-09-21T10:15:46.766272Z,2026-09-21T10:16:24.410981Z,1789985746.766272,1789985784.410981,2659023,2659023,0,0,1,37.56,8640,65537,HYBRID_CORRELATED,1,25.78323,E7:001:E1_TEST_DOS_01
