session,n_flows,rf_positive,rf_positive_ratio,rf_score_mean,time_values_available
E1_TEST_NORMAL_01,31,31,1.0,0.8516597499898634,1
E1_TEST_NORMAL_02,31,31,1.0,0.8495692705557553,1
E1_TEST_NORMAL_03,31,31,1.0,0.8479522280839471,1
E1_TEST_SCAN_01,845,845,1.0,0.9994212856020412,1
E1_TEST_SCAN_02,837,837,1.0,0.9994038614485952,1
E1_TEST_SCAN_03,861,861,1.0,0.9994087609297813,1
E1_TEST_BRUTE_01,6,6,1.0,0.5492835241880192,1
E1_TEST_BRUTE_02,6,6,1.0,0.5484595598639498,1
E1_TEST_BRUTE_03,6,6,1.0,0.5376224090460479,1
E1_TEST_DOS_01,65537,65537,1.0,0.9999881212139519,1
E1_TEST_DOS_02,65537,65537,1.0,0.9999909398526933,1
E1_TEST_DOS_03,65537,65537,1.0,0.9999909397714397,1
E1_TEST_EXPLOIT_01,2319,2318,0.9995687796463993,0.9980699947393415,1
E1_TEST_EXPLOIT_02,2072,2072,1.0,0.9990745509035532,1
E1_TEST_EXPLOIT_03,21,21,1.0,0.5672778030664831,1
