sample_id,hour_utc,incident_key,provenance_tier,selection_component,selection_seed,reviewer,review_time_utc,validation_outcome,notes
E7S0001,2026-09-21T10:00:00Z,E7:002:E1_TEST_NORMAL_01,RF_ONLY_REVIEW,UNIFORM_HOURLY,20260921,,,,
E7S0002,2026-09-21T10:00:00Z,E7:001:E1_TEST_DOS_01,HYBRID_CORRELATED,ROTATING_TIER:HYBRID_CORRELATED,20260921,,,,
E7S0003,2026-09-21T11:00:00Z,E7:004:E1_TEST_EXPLOIT_01,RF_ONLY_REVIEW,UNIFORM_HOURLY,20260921,,,,
E7S0004,2026-09-21T11:00:00Z,E7:004:E1_TEST_SCAN_02,RF_ONLY_REVIEW,ROTATING_TIER:BOTH_UNCORRELATED,20260921,,,,
E7S0005,2026-09-21T12:00:00Z,E7:010:E1_TEST_DOS_02,HYBRID_CORRELATED,UNIFORM_HOURLY,20260921,,,,
E7S0006,2026-09-21T12:00:00Z,E7:007:E1_TEST_SCAN_03,RF_ONLY_REVIEW,ROTATING_TIER:SURICATA_ONLY,20260921,,,,
E7S0007,2026-09-21T13:00:00Z,E7:011:E1_TEST_DOS_02,HYBRID_CORRELATED,UNIFORM_HOURLY,20260921,,,,
E7S0008,2026-09-21T13:00:00Z,E7:013:E1_TEST_NORMAL_01,RF_ONLY_REVIEW,ROTATING_TIER:RF_ONLY_REVIEW,20260921,,,,
E7S0009,2026-09-21T14:00:00Z,E7:015:E1_TEST_BRUTE_02,RF_ONLY_REVIEW,UNIFORM_HOURLY,20260921,,,,
E7S0010,2026-09-21T14:00:00Z,E7:014:E1_TEST_EXPLOIT_01,RF_ONLY_REVIEW,ROTATING_TIER:BENIGN,20260921,,,,
E7S0011,2026-09-21T15:00:00Z,E7:019:E1_TEST_BRUTE_01,RF_ONLY_REVIEW,UNIFORM_HOURLY,20260921,,,,
E7S0012,2026-09-21T15:00:00Z,E7:019:E1_TEST_DOS_03,HYBRID_CORRELATED,ROTATING_TIER:HYBRID_CORRELATED,20260921,,,,
E7S0013,2026-09-21T16:00:00Z,E7:021:E1_TEST_SCAN_02,RF_ONLY_REVIEW,UNIFORM_HOURLY,20260921,,,,
E7S0014,2026-09-21T16:00:00Z,E7:022:E1_TEST_BRUTE_03,RF_ONLY_REVIEW,ROTATING_TIER:BOTH_UNCORRELATED,20260921,,,,
E7S0015,2026-09-21T17:00:00Z,E7:026:E1_TEST_NORMAL_01,RF_ONLY_REVIEW,UNIFORM_HOURLY,20260921,,,,
E7S0016,2026-09-21T17:00:00Z,E7:027:E1_TEST_EXPLOIT_01,RF_ONLY_REVIEW,ROTATING_TIER:SURICATA_ONLY,20260921,,,,
E7S0017,2026-09-21T18:00:00Z,E7:028:E1_TEST_SCAN_02,RF_ONLY_REVIEW,UNIFORM_HOURLY,20260921,,,,
E7S0018,2026-09-21T18:00:00Z,E7:030:E1_TEST_NORMAL_03,RF_ONLY_REVIEW,ROTATING_TIER:RF_ONLY_REVIEW,20260921,,,,
E7S0019,2026-09-21T19:00:00Z,E7:033:E1_TEST_DOS_01,HYBRID_CORRELATED,UNIFORM_HOURLY,20260921,,,,
E7S0020,2026-09-21T19:00:00Z,E7:032:E1_TEST_NORMAL_01,RF_ONLY_REVIEW,ROTATING_TIER:BENIGN,20260921,,,,
E7S0021,2026-09-21T20:00:00Z,E7:035:E1_TEST_NORMAL_02,RF_ONLY_REVIEW,UNIFORM_HOURLY,20260921,,,,
E7S0022,2026-09-21T20:00:00Z,E7:037:E1_TEST_DOS_03,HYBRID_CORRELATED,ROTATING_TIER:HYBRID_CORRELATED,20260921,,,,
E7S0023,2026-09-21T21:00:00Z,E7:041:E1_TEST_DOS_01,HYBRID_CORRELATED,UNIFORM_HOURLY,20260921,,,,
E7S0024,2026-09-21T21:00:00Z,E7:040:E1_TEST_DOS_03,HYBRID_CORRELATED,ROTATING_TIER:BOTH_UNCORRELATED,20260921,,,,
E7S0025,2026-09-21T22:00:00Z,E7:044:E1_TEST_NORMAL_03,RF_ONLY_REVIEW,UNIFORM_HOURLY,20260921,,,,
E7S0026,2026-09-21T22:00:00Z,E7:042:E1_TEST_EXPLOIT_01,RF_ONLY_REVIEW,ROTATING_TIER:SURICATA_ONLY,20260921,,,,
E7S0027,2026-09-21T23:00:00Z,E7:047:E1_TEST_DOS_03,HYBRID_CORRELATED,UNIFORM_HOURLY,20260921,,,,
E7S0028,2026-09-21T23:00:00Z,E7:047:E1_TEST_SCAN_01,RF_ONLY_REVIEW,ROTATING_TIER:RF_ONLY_REVIEW,20260921,,,,
E7S0029,2026-09-22T00:00:00Z,E7:050:E1_TEST_NORMAL_01,RF_ONLY_REVIEW,UNIFORM_HOURLY,20260921,,,,
E7S0030,2026-09-22T00:00:00Z,E7:050:E1_TEST_EXPLOIT_01,RF_ONLY_REVIEW,ROTATING_TIER:BENIGN,20260921,,,,
E7S0031,2026-09-22T01:00:00Z,E7:054:E1_TEST_SCAN_02,RF_ONLY_REVIEW,UNIFORM_HOURLY,20260921,,,,
E7S0032,2026-09-22T01:00:00Z,E7:054:E1_TEST_DOS_03,HYBRID_CORRELATED,ROTATING_TIER:HYBRID_CORRELATED,20260921,,,,
E7S0033,2026-09-22T02:00:00Z,E7:057:E1_TEST_EXPLOIT_03,RF_ONLY_REVIEW,UNIFORM_HOURLY,20260921,,,,
E7S0034,2026-09-22T02:00:00Z,E7:055:E1_TEST_DOS_03,HYBRID_CORRELATED,ROTATING_TIER:BOTH_UNCORRELATED,20260921,,,,
E7S0035,2026-09-22T03:00:00Z,E7:059:E1_TEST_NORMAL_03,RF_ONLY_REVIEW,UNIFORM_HOURLY,20260921,,,,
E7S0036,2026-09-22T03:00:00Z,E7:061:E1_TEST_DOS_01,HYBRID_CORRELATED,ROTATING_TIER:SURICATA_ONLY,20260921,,,,
E7S0037,2026-09-22T04:00:00Z,E7:063:E1_TEST_EXPLOIT_01,RF_ONLY_REVIEW,UNIFORM_HOURLY,20260921,,,,
E7S0038,2026-09-22T04:00:00Z,E7:062:E1_TEST_SCAN_01,RF_ONLY_REVIEW,ROTATING_TIER:RF_ONLY_REVIEW,20260921,,,,
E7S0039,2026-09-22T05:00:00Z,E7:067:E1_TEST_NORMAL_03,RF_ONLY_REVIEW,UNIFORM_HOURLY,20260921,,,,
E7S0040,2026-09-22T05:00:00Z,E7:066:E1_TEST_EXPLOIT_01,RF_ONLY_REVIEW,ROTATING_TIER:BENIGN,20260921,,,,
E7S0041,2026-09-22T06:00:00Z,E7:071:E1_TEST_BRUTE_02,RF_ONLY_REVIEW,UNIFORM_HOURLY,20260921,,,,
