run_id,selected_utc,utc_hour,incident_id,es_id,provenance,evidence_tier,selection_reason,manual_truth,manual_disposition,reviewer_id,reviewed_at_utc,review_notes
E7_PILOT_20260921_RUN02,2026-09-21T05:30:00.483+00:00,2026-09-21T05:00Z,2,E7_PILOT_20260921_RUN02_0001,UNKNOWN,UNKNOWN,FIRST_IN_STRATUM_HOUR,,,,,
E7_PILOT_20260921_RUN02,2026-09-21T05:40:00.483+00:00,2026-09-21T05:00Z,8,E7_PILOT_20260921_RUN02_0007,UNKNOWN,UNKNOWN,SHA256_MOD_10,,,,,
E7_PILOT_20260921_RUN02,2026-09-21T06:01:00.483+00:00,2026-09-21T06:00Z,22,E7_PILOT_20260921_RUN02_0021,UNKNOWN,UNKNOWN,FIRST_IN_STRATUM_HOUR,,,,,
E7_PILOT_20260921_RUN02,2026-09-21T06:05:00.483+00:00,2026-09-21T06:00Z,25,E7_PILOT_20260921_RUN02_0024,UNKNOWN,UNKNOWN,SHA256_MOD_10,,,,,
E7_PILOT_20260921_RUN02,2026-09-21T06:13:00.483+00:00,2026-09-21T06:00Z,30,E7_PILOT_20260921_RUN02_0029,UNKNOWN,UNKNOWN,SHA256_MOD_10,,,,,
E7_PILOT_20260921_RUN02,2026-09-21T06:14:00.483+00:00,2026-09-21T06:00Z,31,E7_PILOT_20260921_RUN02_0030,UNKNOWN,UNKNOWN,SHA256_MOD_10,,,,,
E7_PILOT_20260921_RUN02,2026-09-21T06:19:00.483+00:00,2026-09-21T06:00Z,34,E7_PILOT_20260921_RUN02_0033,UNKNOWN,UNKNOWN,SHA256_MOD_10,,,,,
E7_PILOT_20260921_RUN02,2026-09-21T06:28:00.483+00:00,2026-09-21T06:00Z,40,E7_PILOT_20260921_RUN02_0039,UNKNOWN,UNKNOWN,SHA256_MOD_10,,,,,
E7_PILOT_20260921_RUN02,2026-09-21T06:31:00.483+00:00,2026-09-21T06:00Z,42,E7_PILOT_20260921_RUN02_0041,UNKNOWN,UNKNOWN,SHA256_MOD_10,,,,,
E7_PILOT_20260921_RUN02,2026-09-21T06:37:00.483+00:00,2026-09-21T06:00Z,46,E7_PILOT_20260921_RUN02_0045,UNKNOWN,UNKNOWN,SHA256_MOD_10,,,,,
